id_starname,cks_steff,cks_steff_err1,cks_steff_err2,cks_smet,cks_smet_err1,cks_smet_err2,m17_kmag,m17_kmag_err,gaia2_sparallax,gaia2_sparallax_err,gdir_srad,gdir_srad_err1,gdir_srad_err2,giso_smass,giso_smass_err1,giso_smass_err2,giso_slogage,giso_slogage_err1,giso_slogage_err2,gaia2_gflux_ratio,fur17_rcorr_avg
K04575,6281, 60, -60,0.03,0.04,-0.04,11.816,0.023,0.903,0.014,2.112,0.058,-0.056,1.419,0.028,-0.087,9.41,0.11,-0.04,1.131,1.0650
K04580,5892, 60, -60,-0.18,0.04,-0.04,11.426,0.026,1.402,0.020,1.690,0.047,-0.046,1.019,0.022,-0.021,9.90,0.03,-0.03,1.316,1.1446
K04581,5849, 60, -60,0.07,0.04,-0.04,12.092,0.021,1.489,0.014,1.175,0.029,-0.028,1.024,0.032,-0.030,9.81,0.08,-0.10,1.006,nan
K04582,5637, 60, -60,-0.19,0.04,-0.04,10.224,0.012,4.476,0.027,0.937,0.022,-0.021,0.850,0.030,-0.025,10.01,0.08,-0.11,1.052,1.0315
K04585,6153, 60, -60,-0.12,0.04,-0.04,12.228,0.018,0.903,0.013,1.762,0.046,-0.045,1.142,0.037,-0.027,9.71,0.04,-0.05,1.000,nan
K04588,6204, 60, -60,-0.14,0.04,-0.04,11.909,0.016,0.923,0.019,1.989,0.060,-0.058,1.203,0.024,-0.024,9.63,0.03,-0.03,1.041,nan
K04601,6218, 60, -60,0.22,0.04,-0.04,12.434,0.021,1.059,0.015,1.362,0.036,-0.035,1.253,0.032,-0.017,9.36,0.06,-0.24,1.000,nan
K04603,6245, 60, -60,0.19,0.04,-0.04,12.365,0.026,1.019,0.017,1.458,0.042,-0.040,1.268,0.045,-0.019,9.42,0.05,-0.14,1.217,nan
K04605,6096, 60, -60,0.04,0.04,-0.04,12.109,0.029,0.818,0.014,2.071,0.061,-0.059,1.282,0.115,-0.034,9.59,0.04,-0.14,1.034,1.0022
K04613,5443, 60, -60,-0.13,0.04,-0.04,12.261,0.023,2.053,0.013,0.814,0.021,-0.020,0.857,0.032,-0.031,9.61,0.25,-0.60,1.007,nan
K04614,6071, 60, -60,0.08,0.04,-0.04,12.476,0.019,1.069,0.015,1.330,0.034,-0.033,1.139,0.029,-0.031,9.64,0.08,-0.08,1.000,nan
K04617,5903, 60, -60,-0.12,0.04,-0.04,12.323,0.015,1.137,0.016,1.368,0.035,-0.034,0.979,0.026,-0.026,9.95,0.05,-0.05,1.000,nan
K04633,5984, 60, -60,0.10,0.04,-0.04,12.307,0.022,0.982,0.015,1.595,0.044,-0.043,1.196,0.029,-0.063,9.68,0.10,-0.06,1.003,nan
K04637,6284, 60, -60,-0.16,0.04,-0.04,9.227,0.011,3.339,0.026,1.869,0.040,-0.039,1.188,0.108,-0.019,9.63,0.03,-0.14,1.019,nan
K04640,6430, 60, -60,-0.06,0.04,-0.04,12.473,0.022,0.838,0.018,1.673,0.052,-0.050,1.283,0.024,-0.027,9.45,0.04,-0.04,1.009,nan
K04647,5166, 60, -60,0.23,0.04,-0.04,11.766,0.013,0.859,0.013,2.519,0.073,-0.071,1.340,0.022,-0.023,9.62,0.03,-0.02,1.000,nan
K04651,5715, 60, -60,0.04,0.04,-0.04,12.128,0.018,1.835,0.020,0.945,0.024,-0.023,0.984,0.031,-0.030,9.43,0.25,-0.39,1.086,1.0346
K04653,6138, 60, -60,-0.00,0.04,-0.04,12.255,0.028,1.109,0.014,1.418,0.038,-0.037,1.135,0.036,-0.039,9.67,0.08,-0.07,1.002,1.0750
K04657,5318, 60, -60,-0.05,0.04,-0.04,11.424,0.019,2.741,0.020,0.907,0.023,-0.023,0.834,0.019,-0.013,10.08,0.04,-0.08,1.047,1.0262
K04659,5600, 60, -60,-0.03,0.04,-0.04,12.120,0.023,1.941,0.017,0.908,0.023,-0.023,0.922,0.036,-0.033,9.66,0.19,-0.33,1.007,1.0015
K04663,5545, 60, -60,0.30,0.04,-0.04,11.093,0.014,1.440,0.020,1.961,0.053,-0.051,1.200,0.016,-0.017,9.80,0.02,-0.02,1.000,nan
K04665,5622, 60, -60,-0.02,0.04,-0.04,12.149,0.029,1.180,0.023,1.475,0.048,-0.046,0.951,0.023,-0.021,10.06,0.03,-0.04,1.081,nan
