id_koicand, koi_snr, det_prob, tr_prob, weight
K01576.01, 65.72, 0.990, 0.0411, 24.54
K01576.02, 54.18, 0.985, 0.0353, 28.73
K01576.03, 4.66, 0.493, 0.0240, 84.36
K04409.01, 12.33, 0.538, 0.0430, 43.20
K02440.01, 16.26, 0.952, 0.0953, 11.03
K02555.01, 21.21, 0.702, 0.0427, 33.40
K02219.01, 28.47, 0.896, 0.0705, 15.83
K02556.01, 20.05, 0.742, 0.0164, 82.28
K01825.01, 53.38, 0.958, 0.0312, 33.41
K00261.01, 95.49, 0.971, 0.0313, 32.88
K02011.02, 14.96, 0.687, 0.0392, 37.16
K02011.01, 27.27, 0.920, 0.0712, 15.28
K04907.01, 10.12, 0.506, 0.1015, 19.47
K00409.01, 78.70, 0.984, 0.0391, 25.96
K03039.01, 15.48, 0.857, 0.0459, 25.43
K00142.01, 158.19, 0.997, 0.0393, 25.51
K02970.01, 14.59, 0.411, 0.0826, 29.41
K01930.01, 38.99, 0.979, 0.0632, 16.16
K01930.03, 31.50, 0.967, 0.0289, 35.80
K01930.04, 22.61, 0.947, 0.0817, 12.92
K01930.02, 29.01, 0.962, 0.0432, 24.07
K02668.01, 41.82, 0.979, 0.2507, 4.07
K00257.01, 100.82, 0.991, 0.0672, 15.02
K04067.01, 15.70, 0.990, 0.0501, 20.15
K00647.01, 62.27, 0.982, 0.1048, 9.72
K00647.02, 11.10, 0.660, 0.0776, 19.52
K01621.01, 34.10, 0.973, 0.0525, 19.59
K00649.01, 47.79, 0.992, 0.0463, 21.76
K00649.02, 8.21, 0.827, 0.0806, 15.00
K02915.01, 15.41, 0.501, 0.0673, 29.63
K02010.01, 35.72, 0.975, 0.0320, 32.05
K00505.02, 14.94, 0.827, 0.0491, 24.60
K00505.01, 35.98, 0.962, 0.0289, 36.02
K00505.03, 14.89, 0.829, 0.0755, 15.96
K00505.04, 22.45, 0.914, 0.0403, 27.17
K00505.05, 21.93, 0.902, 0.0084, 131.38
K00283.02, 8.79, 0.182, 0.0241, 228.88
K00283.01, 63.72, 0.953, 0.0327, 32.06
K01897.01, 42.21, 0.964, 0.0164, 63.40
K02358.01, 28.27, 0.977, 0.0212, 48.24
K00148.01, 43.20, 0.971, 0.0649, 15.86
K00148.02, 60.85, 0.985, 0.0406, 25.03
K00148.03, 20.11, 0.891, 0.0150, 74.69
K03288.01, 30.96, 0.939, 0.0137, 77.83
K01928.01, 37.07, 0.947, 0.0140, 75.53
K04443.01, 10.82, 0.825, 0.0951, 12.74
K00097.01, 1338.04, 1.000, 0.1316, 7.60
K00650.01, 85.42, 0.976, 0.0348, 29.49
K02675.01, 126.57, 0.978, 0.0617, 16.56
K02675.02, 65.64, 0.911, 0.1776, 6.18
K01050.02, 33.37, 0.948, 0.0930, 11.34
K01839.01, 63.26, 0.969, 0.0395, 26.12
K01839.02, 22.40, 0.863, 0.0096, 121.06
K00085.01, 60.97, 0.990, 0.0882, 11.45
K00085.02, 33.62, 0.968, 0.1718, 6.02
K00085.03, 24.93, 0.953, 0.0709, 14.80
K04156.01, 17.22, 0.912, 0.1116, 9.82
K02801.01, 18.35, 0.531, 0.0831, 22.64
K00654.02, 10.52, 0.908, 0.0446, 24.68
K04633.01, 10.98, 0.823, 0.0624, 19.48
K02498.02, 13.08, 0.377, 0.0340, 78.13
K02498.01, 15.35, 0.489, 0.0528, 38.75
K00655.01, 85.55, 0.976, 0.0299, 34.25
K00655.02, 32.36, 0.845, 0.0091, 129.43
K00303.01, 92.19, 0.951, 0.0147, 71.35
K00657.01, 57.78, 0.972, 0.0646, 15.92
K00657.02, 37.95, 0.942, 0.0256, 41.42
K02148.01, 27.70, 0.971, 0.0606, 17.00
K02148.02, 19.44, 0.954, 0.0823, 12.75
K02148.03, 12.97, 0.926, 0.1343, 8.04
K02949.01, 12.62, 0.679, 0.0604, 24.42
