iso_steff,iso_slogg_err2,iso_steff_err1,iso_steff_err2,iso_slogage,iso_smass,iso_sparallax_err1,iso_sparallax_err2,id_starname,iso_sparallax,iso_srad,iso_smet_err1,iso_smet_err2,iso_smass_err2,iso_smass_err1,iso_slogg_err1,iso_srad_err1,iso_smet,iso_srad_err2,iso_slogg,iso_slogage_err1,iso_slogage_err2,iso_sage,iso_sage_err1,iso_sage_err2
5763.0,-0.09,64.0,-63.0,10.04,0.83,0.27,-0.29,K00111,2.78,0.966,0.043,-0.043,-0.027,0.029,0.087,0.108,-0.409,-0.085,4.385,0.085,-0.16,10.9647819614,2.3704323602,-3.37900621114
5806.0,-0.095,66.0,-65.0,9.829,0.999,0.22,-0.26,K00112,2.24,1.099,0.04,-0.046,-0.03,0.031,0.078,0.142,-0.02,-0.094,4.352,0.081,-0.158,6.74528027698,1.38302488466,-2.05714645553
5597.0,-0.095,62.0,-65.0,9.877,1.099,0.33,-0.3,K00113,2.28,1.49,0.043,-0.041,-0.053,0.082,0.101,0.22,0.379,-0.18,4.132,0.079,-0.111,7.53355563734,1.50293909989,-1.6991045946
5932.0,-0.084,66.0,-67.0,9.68,1.019,0.18,-0.21,K00115,2.16,1.061,0.043,-0.043,-0.031,0.032,0.069,0.111,-0.081,-0.078,4.394,0.13,-0.29,4.78630092323,1.67024136712,-2.33159200754
5862.0,-0.084,64.0,-64.0,9.783,0.994,0.19,-0.22,K00116,2.22,1.074,0.043,-0.043,-0.029,0.033,0.072,0.118,-0.08,-0.083,4.372,0.083,-0.177,6.06736329589,1.27777538569,-2.03090936621
5861.0,-0.11,65.0,-62.0,9.631,1.256,0.31,-0.26,K00117,1.75,1.61,0.042,-0.043,-0.088,0.098,0.11,0.28,0.302,-0.24,4.12,0.065,-0.066,4.27562886152,0.690294352987,-0.602805856535
5765.0,-0.098,64.0,-64.0,9.924,1.027,0.31,-0.29,K00118,2.3,1.34,0.042,-0.041,-0.035,0.046,0.099,0.19,0.066,-0.16,4.196,0.059,-0.069,8.39459986519,1.22152291864,-1.23316576306
5691.0,-0.102,58.0,-66.0,9.673,1.303,0.2,-0.19,K00119,1.54,1.94,0.042,-0.041,-0.106,0.081,0.071,0.28,0.354,-0.21,3.98,0.101,-0.088,4.70977326397,1.23314832219,-0.863855443516
5656.0,-0.096,65.0,-64.0,9.911,1.077,0.32,-0.29,K00122,2.18,1.49,0.043,-0.043,-0.054,0.073,0.102,0.23,0.253,-0.19,4.122,0.075,-0.095,8.14704284021,1.5357357224,-1.60068109954
5913.0,-0.11,65.0,-65.0,9.804,1.073,0.3,-0.28,K00123,2.11,1.37,0.036,-0.045,-0.038,0.041,0.1,0.2,-0.002,-0.17,4.2,0.06,-0.066,6.36795520908,0.943435625755,-0.897795580139
