,id_starname,gdir_srad,gdir_srad_err1,gdir_srad_err2,giso_smass,giso_smass_err2,giso_smass_err1,giso_srad,giso_srad_err1,giso_srad_err2,giso_sage,giso_sage_err1,giso_sage_err2,giso2_sparallax,giso2_sparallax_err1,giso2_sparallax_err2
1068,K04146,0.73876354212,0.0188748338039,-0.0183085657928,0.849208894941,-0.0175246543116,0.00161817883139,0.76126769849,0.00189870634255,-0.00574559915687,0.548945212847,0.962439610301,-0.298945212847,2.73210380546,0.0894808959976,-0.104109545484
1069,K04156,1.59157995592,0.0461294775006,-0.044551888567,1.20789900776,-0.070351185085,0.0332441618592,1.57398118705,0.0251763448264,-0.0264257008622,5.24932357377,1.54246322032,-0.716929516169,1.02557652484,0.11301864104,-0.137992784338
1070,K04157,1.23298234335,0.030526698562,-0.0296580588255,1.14596944887,-0.0295134113508,0.0303308284119,1.22188048203,0.0184832572011,-0.0158279311223,2.60073229184,0.882575480888,-0.786958892441,1.86326353994,0.122077025419,-0.177513917245
1071,K04159,0.875089088195,0.0265537568735,-0.0256557532158,0.872178755228,-0.028209479227,0.0326721387225,0.86706948309,0.0136232414344,-0.0144798822113,8.00601179646,3.2374258578,-3.48604930537,1.65891626847,0.0722107579214,-0.0856808638437
1072,K04160,0.962750537797,0.0237761598718,-0.0230573646895,1.05462838034,-0.0165948786321,0.0104858628803,0.96928568043,0.00751574591508,-0.00715623528675,1.00572958546,0.813389483554,-0.393018861624,1.8346811693,0.0732852404688,-0.139302088221
1073,K04188,1.04637666371,0.025074913996,-0.0245026973541,1.10228092869,-0.0315173147541,0.0199649131078,1.03798980047,0.0146014456128,-0.00247260901881,0.975377775032,1.30850498319,-0.604727318533,2.04012832475,0.111691108292,-0.166593790841
1074,K04190,4.95107452052,3.73424748502,-1.96386708352,1.22140172529,-0.108354873313,0.211018835155,1.88634201388,0.700943352031,-0.388740007801,5.54034980468,1.96306105976,-2.22082975146,1.20092108772,0.134865779696,-0.171775353483
1075,K04198,1.89732732496,0.0534475497849,-0.0518158887305,1.05895706885,-0.0197796282826,0.0206450783493,1.88919571047,0.0406682125171,-0.0257193352324,5.98975169739,0.384873412422,-0.368899753202,1.55500276182,0.197562268992,-0.247460519548
1076,K04199,0.740750962468,0.0209751975598,-0.0202887433289,0.783963075291,-0.0305380334264,0.0236991430029,0.74243354932,0.00577433117932,-0.00561533098952,4.45231462095,4.63031626227,-2.86125666922,2.13564327812,0.0677906907891,-0.0774769201149
1077,K04204,1.22071834392,0.0340787421017,-0.0330058761862,1.06045133084,-0.030316836814,0.0307558897176,1.21287909507,0.0204180421399,-0.0190502339264,6.07983313324,1.23805274807,-1.17883753524,1.00839449281,0.119331809768,-0.122645804224
1078,K04212,1.2465487729,0.0356707064558,-0.0345853090075,1.17715008861,-0.0372335159575,0.0237699375294,1.2318591648,0.0204445702471,-0.0252103634598,2.37981138578,0.865110064599,-0.835511774654,1.10824426108,0.0674703825746,-0.106851992752
1079,K04215,1.76984337587,0.0521075739379,-0.050345054375,0.880213782629,-0.0117604712443,0.0142927329698,1.71380755517,0.0294819855396,-0.028932927564,13.1736070185,0.471646037482,-0.627278423311,1.03307664352,0.0693760313262,-0.124684382245
1080,K04222,1.23726111595,0.0337515785462,-0.0327022331788,0.915856662149,-0.0188824843606,0.0250356656151,1.19676712316,0.014253014909,-0.0151234334054,12.090644842,1.1118188459,-1.37801249394,2.00214777235,0.0766952603358,-0.114830676831
1081,K04226,1.92448499597,0.0624714987993,-0.0599460797107,1.3633975072,-0.093327798681,0.0272934804107,1.86963286285,0.0393444409304,-0.046900854457,3.66454314397,1.2833496431,-0.367497774919,1.24958415146,0.14794355462,-0.177835470969
1082,K04230,1.43003047026,0.0373860264636,-0.0363734312835,0.877551907356,-0.0176875651655,0.0184563136557,1.42369975625,0.0205347452484,-0.0201912399135,11.9985260357,0.852602800529,-0.856619760493,1.20852570482,0.179845007042,-0.169463472309
1083,K04235,1.41476753562,0.0358761363851,-0.0348287962526,1.20158108868,-0.0249028919319,0.0205032464386,1.40874967858,0.0163692076647,-0.0175799501441,3.20070967213,0.451721376079,-0.486375416131,1.31888936555,0.109227809607,-0.177714382215
1084,K04245,2.08529004845,0.0697325591841,-0.0668904790363,1.43231932039,-0.0955349965101,0.0331327701008,2.06426319706,0.04672169593,-0.0443407955661,2.8641925328,0.927938733031,-0.284694232421,0.859687748477,0.114967337801,-0.123878390672
1085,K04246,0.917094117728,0.0223006149362,-0.0216240850103,1.02410771067,-0.0146075770565,0.00951172340214,0.928811729862,0.00449142727711,-0.00647985606189,0.938434376132,0.520273942673,-0.453079145866,1.93497627268,0.0827417914923,-0.0920943951409
1086,K04251,0.901376692866,0.0223317953793,-0.0217205540692,0.922444300659,-0.0317807264627,0.0305898649834,0.899537666189,0.00930093685655,-0.00818778365302,4.91516984885,2.52378223939,-2.14286921241,1.96350812142,0.0960002457265,-0.132431931224
1087,K04257,2.51347784987,0.0732158996598,-0.0706052325776,1.28939070011,-0.0260440472358,0.0215704974498,2.47159266319,0.0445261783319,-0.0427089697145,4.07247827786,0.191382377824,-0.226938781715,1.06112620255,0.162071347848,-0.187026063631
1088,K04269,3.01481714374,0.0935268190274,-0.0901384468137,1.26156988571,-0.0902225477228,0.0765014018374,2.97936884755,0.0553923432659,-0.0606958514405,4.72800762764,1.52951840329,-0.896656002695,0.972249893135,0.135677175193,-0.151244212877
1089,K04273,0.0,0.0,-0.0,1.83709001008,-0.286917084365,0.500164865692,3.98294806667,2.52370836229,-1.3914039419,1.28836558493,0.849408828682,-0.674480388975,1.60259519455,0.209535019413,-0.274418116848
1090,K04276,2.41859384353,0.0781584010504,-0.0750156514237,1.57132354263,-0.0563921630468,0.0214579078686,2.38733747122,0.0608144993176,-0.0517960401759,1.95795505346,0.33027929511,-0.149927459122,1.2505246805,0.182503041257,-0.20772753159
1091,K04287,0.970629238725,0.130987049941,-0.104113041894,1.12141301673,-0.0304676006864,0.0299746929173,1.11138077777,0.0770563464737,-0.0434327323358,1.43084364011,1.49326761254,-0.927307816793,3.34808700706,0.343289950936,-0.456547307111
