angDist,id_kic,m17_ra,m17_dec,ra_ep2000,dec_ep2000,errHalfMaj,errHalfMin,errPosAng,ra,dec,source_id,ref_epoch,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b
6.657181,1849702,286.28595,37.387058,286.2880379620,37.3862411083,0.000,0.000,0,286.2880379620,37.3862411083,2099067688562057728,2015.0,0.092,0.130,,,,,,,0.189,0,130,7.57169e+03,8.34218e+00,15.827,NOT_AVAILABLE,68.2550867175,13.5666443938
0.207741,1865042,290.68225,37.35511,290.6822122124,37.3551592721,0.006,0.005,0,290.6822122124,37.3551592721,2051034247508620672,2015.0,4.946,5.919,,,,,,,0.999,1,72,6.43265e+04,1.47798e+02,13.504,NOT_AVAILABLE,69.7420735863,10.3919484352
0.190583,1871056,292.04462,37.37624,292.0446275296,37.3761873995,0.000,0.000,0,292.0446275296,37.3761873995,2051738793932789760,2015.0,0.102,0.152,,,,,,,0.583,0,127,1.09190e+05,4.12012e+01,12.929,NOT_AVAILABLE,70.2546848621,9.4338561888
7.518037,1871056,292.04462,37.37624,292.0429041859,37.3746582264,0.003,0.003,90,292.0429041859,37.3746582264,2051738420269870464,2015.0,3.212,2.804,,,,,,,-0.534,0,78,1.14450e+02,1.73935e+00,20.378,NOT_AVAILABLE,70.2526729667,9.4343805219
0.116244,1996180,286.3443,37.411968,286.3442953113,37.4119359256,0.000,0.000,0,286.3442953113,37.4119359256,2099073662860502528,2015.0,0.069,0.114,,,,,,,0.164,0,102,4.98042e+04,2.69089e+01,13.782,NOT_AVAILABLE,68.2979105405,13.5362400169
0.038744,2141783,286.37,37.552521,286.3700113705,37.5525151207,0.000,0.000,0,286.3700113705,37.5525151207,2099076927034105472,2015.0,0.083,0.103,,,,,,,-0.224,0,123,5.37401e+04,2.21935e+01,13.699,NOT_AVAILABLE,68.4385774068,13.5746955668
0.322234,2142501,286.61902,37.504044,286.6190826627,37.5041184364,0.001,0.000,0,286.6190826627,37.5041184364,2099121835213297152,2015.0,0.156,0.553,,,,,,,0.854,0,84,1.98357e+05,1.13086e+02,12.281,NOT_AVAILABLE,68.4758332262,13.3745797798
0.046071,2142522,286.62576,37.5373,286.6257587156,37.5373127568,0.000,0.000,0,286.6257587156,37.5373127568,2099122522408063232,2015.0,0.072,0.104,,,,,,,-0.116,0,101,1.28951e+05,8.22350e+01,12.749,NOT_AVAILABLE,68.5092020311,13.3832998715
0.297145,2162635,291.97754,37.532551,291.9775396932,37.5324684602,0.000,0.000,0,291.9775396932,37.5324684602,2051787619121344256,2015.0,0.125,0.187,,,,,,,0.412,0,119,5.27825e+04,3.85327e+01,13.719,NOT_AVAILABLE,70.3713130135,9.5522957862
5.848896,2162635,291.97754,37.532551,291.9761589107,37.5337510640,0.003,0.001,0,291.9761589107,37.5337510640,2051787619128363776,2015.0,1.321,2.720,,,,,,,0.844,0,88,4.01097e+02,5.01135e+00,19.017,NOT_AVAILABLE,70.3719681297,9.5538535599
5.901645,2162635,291.97754,37.532551,291.9796068015,37.5325852360,0.001,0.001,0,291.9796068015,37.5325852360,2051787623418637824,2015.0,0.641,1.398,,,,,,,0.402,0,101,4.39685e+02,3.73003e+00,18.917,NOT_AVAILABLE,70.3721729099,9.5508880724
0.118055,2165002,292.46976,37.567791,292.4698011963,37.5677940210,0.000,0.000,0,292.4698011963,37.5677940210,2051832630376002688,2015.0,0.101,0.208,,,,,,,-0.172,0,128,1.22232e+04,4.00768e+01,15.307,NOT_AVAILABLE,70.5835112605,9.2210377556
3.588302,2165002,292.46976,37.567791,292.4707765882,37.5672042943,0.001,0.001,0,292.4707765882,37.5672042943,2051832630384899840,2015.0,0.595,0.663,,,,,,,-0.515,0,112,1.04207e+03,5.12056e+00,17.980,NOT_AVAILABLE,70.5833388220,9.2200803965
6.339406,2165002,292.46976,37.567791,292.4701047236,37.5695306188,0.008,0.002,0,292.4701047236,37.5695306188,2051832630382110848,2015.0,1.682,7.508,,,,,,,-0.810,0,104,3.53069e+02,2.10196e+00,19.155,NOT_AVAILABLE,70.5851868979,9.2216191279
7.651444,2165002,292.46976,37.567791,292.4672441351,37.5685263294,0.003,0.002,0,292.4672441351,37.5685263294,2051832630384881280,2015.0,2.453,2.704,,,,,,,-0.322,0,98,1.14922e+02,1.86293e+00,20.374,NOT_AVAILABLE,70.5832305304,9.2231749051
0.277559,2302548,291.36478,37.609169,291.3647340132,37.6092369499,0.000,0.000,0,291.3647340132,37.6092369499,2052528621235177728,2015.0,0.087,0.130,,,,,,,0.698,0,101,6.94046e+04,3.96342e+01,13.421,NOT_AVAILABLE,70.2184963368,10.0204072249
0.475772,2304320,291.74164,37.688938,291.7415838969,37.6888135216,0.002,0.001,0,291.7415838969,37.6888135216,2051807616490718592,2015.0,1.209,1.746,,,,,,,0.441,0,114,5.69962e+04,7.39557e+01,13.635,NOT_AVAILABLE,70.4269135398,9.7897364916
0.104118,2305819,292.08047,37.67461,292.0805058680,37.6746044761,0.021,0.019,90,292.0805748623,37.6746447668,2051886746962627712,2015.0,0.171,0.267,4.75,0.39,13.106,1.429,9.670,1.255,0.080,0,97,3.46686e+05,3.07563e+02,11.675,NOT_AVAILABLE,70.5373532909,9.5441273894
0.091402,2306756,292.27374,37.671558,292.2737625392,37.6715760650,0.002,0.001,0,292.2737625392,37.6715760650,2051837646896793856,2015.0,1.102,2.150,,,,,,,0.261,0,113,1.99518e+05,1.01755e+02,12.275,NOT_AVAILABLE,70.6051493250,9.4065804521
5.166655,2306756,292.27374,37.671558,292.2719339253,37.6714310733,0.015,0.002,0,292.2719339253,37.6714310733,2051837646905593984,2015.0,1.980,15.164,,,,,,,0.076,0,52,6.72907e+02,3.84867e+00,18.455,NOT_AVAILABLE,70.6043494949,9.4078024780
6.415691,2306756,292.27374,37.671558,292.2743934688,37.6698525767,0.003,0.001,0,292.2743934688,37.6698525767,2051837646903917440,2015.0,1.024,2.901,,,,,,,0.672,0,77,8.66961e+02,4.10034e+00,18.180,NOT_AVAILABLE,70.6038254211,9.4053500426
0.109899,2307415,292.42108,37.682819,292.4210990205,37.6827924419,0.000,0.000,0,292.4210990205,37.6827924419,2051842835219309696,2015.0,0.095,0.193,,,,,,,-0.040,0,114,1.13334e+05,4.63104e+01,12.889,NOT_AVAILABLE,70.6692304349,9.3079583415
0.325630,2438264,290.29651,37.749489,290.2964240269,37.7494293291,0.000,0.000,0,290.2964240269,37.7494293291,2051105406516921728,2015.0,0.087,0.133,,,,,,,0.497,0,130,3.90472e+04,2.73631e+01,14.046,NOT_AVAILABLE,69.9648313310,10.8403416637
4.236002,2438264,290.29651,37.749489,290.2976188928,37.7502737181,0.001,0.000,0,290.2976188928,37.7502737181,2051105410811369728,2015.0,0.407,0.573,,,,,,,0.724,0,112,5.53915e+02,2.94485e+00,18.666,NOT_AVAILABLE,69.9660260250,10.8398633620
5.090860,2438264,290.29651,37.749489,290.2953080816,37.7484418240,0.002,0.001,0,290.2953080816,37.7484418240,2051105410811351168,2015.0,1.151,2.462,,,,,,,0.892,0,92,2.98563e+02,3.43900e+00,19.337,NOT_AVAILABLE,69.9635335884,10.8407011013
0.163119,2438406,290.31512,37.742451,290.3150657715,37.7424656346,0.000,0.000,0,290.3150657715,37.7424656346,2051104650602669440,2015.0,0.153,0.216,,,,,,,0.648,0,111,4.50887e+03,1.31599e+01,16.390,NOT_AVAILABLE,69.9650493780,10.8240403247
