 KOI  KICID     Telescope Instrument  Band    PSF  delta(m)   d    Obsdate
  42   8866102    Keck     NIRC2        K'   99.99   7.40    0.5   2012-05-06
  42   8866102    Keck     NIRC2        K'   99.99   3.97   0.03   2014-07-31
  42   8866102     MMT     ARIES        Ks    0.15   8.00    1.0   2010-05-04
  42   8866102     MMT     ARIES         J    0.20   8.00    1.0   2010-05-04
  42   8866102  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-07-16
  42   8866102  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2012-07-17
  42   8866102  Pal1.5   Robo-AO        r'    0.12  99.99  99.99   2012-07-17
  42   8866102  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-07-17
  42   8866102  Pal1.5   Robo-AO        r'    0.12  99.99  99.99   2013-04-22
  42   8866102  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-04-22
  42   8866102  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-04-22
  42   8866102  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-04-22
  42   8866102  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
  42   8866102    Pal5     PHARO         J    0.46   3.50    0.5   2014-07-12
  42   8866102    Pal5     PHARO  Br-gamma    0.13   5.66    0.5   2014-07-12
  42   8866102    WIYN      DSSI     692nm    0.05   4.01    0.2   2010-06-20
  42   8866102    WIYN      DSSI     562nm    0.05   3.27    0.2   2010-06-20
  44   8845026    Keck     NIRC2        K'   99.99   4.69   0.03   2014-08-13
  44   8845026    Lick     IRCAL         H    0.31   2.85    0.5   2012-08-05
  44   8845026  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-07-16
  44   8845026    WIYN      DSSI     880nm    0.05   3.20    0.2   2011-09-14
  44   8845026    WIYN      DSSI     692nm    0.05   3.40    0.2   2011-09-14
  46  10905239    Keck     NIRC2        Ks    0.04   5.29    0.5   2014-07-17
  46  10905239  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
  46  10905239    WIYN      DSSI     692nm    0.05   3.25    0.2   2012-10-01
  46  10905239    WIYN      DSSI     880nm    0.05   2.27    0.2   2012-10-01
  49   9527334    CAHA  AstraLux        i'    0.16   3.61    0.5   2013-06-22
  49   9527334  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-07-16
  49   9527334    WIYN      DSSI     692nm    0.05   2.44    0.2   2010-09-17
  49   9527334    WIYN      DSSI     562nm    0.05   3.15    0.2   2010-09-17
  51   6056992    CAHA  AstraLux        i'    0.17   3.22    0.5   2013-06-22
  51   6056992  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2013-07-25
  51   6056992    WIYN      DSSI     692nm    0.05   2.64    0.2   2011-09-07
  51   6056992    WIYN      DSSI     880nm    0.05   2.11    0.2   2011-09-07
  63  11554435    Keck     NIRC2        K'   99.99   2.11   0.03   2012-08-14
  63  11554435    Keck     NIRC2        K'   99.99   6.30    0.5   2012-08-14
  63  11554435    Keck     NIRC2        Ks    0.04   5.14    0.5   2014-07-17
  63  11554435    Lick     IRCAL         J    0.20   8.00    1.0   2011-06-18
