 KOI  KICID     Telescope Instrument  Band    PSF  delta(m)   d    Obsdate
1805   4644952    Keck     NIRC2        Ks    0.04   5.23    0.5   2014-07-17
1805   4644952  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-14
1805   4644952    WIYN      DSSI     880nm    0.05   2.19    0.2   2013-09-24
1805   4644952    WIYN      DSSI     692nm    0.05   2.57    0.2   2013-09-24
1806   9529744  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-13
1806   9529744    Pal5     PHARO        Ks    0.15   3.06    0.5   2014-07-17
1808   7761918    Lick     IRCAL         H    0.31   2.99    0.5   2012-07-09
1808   7761918    Lick     IRCAL         H    0.20   8.00    1.0   2012-09-03
1808   7761918  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
1808   7761918    Pal5     PHARO        Ks    0.15   2.68    0.5   2014-07-13
1809   8240797    Lick     IRCAL         H    0.20   8.00    1.0   2012-07-09
1809   8240797    Lick     IRCAL         H    0.24   3.86    0.5   2012-09-03
1809   8240797  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-08-29
1809   8240797  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2012-09-13
1809   8240797  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-13
1809   8240797    Pal5     PHARO        Ks    0.15   3.12    0.5   2014-07-16
1812   6279974    CAHA  AstraLux        i'    0.14   3.30    0.5   2013-06-19
1812   6279974    Keck     NIRC2        Ks    0.04   4.82    0.5   2014-07-17
1812   6279974  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1813   9455325  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1814   5621125    Lick     IRCAL         H    0.25   3.38    0.5   2012-07-09
1814   5621125    Lick     IRCAL         H    0.20   8.00    1.0   2012-09-02
1814   5621125  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-14
1815   9872283    Keck     NIRC2        K'   99.99   8.20    0.5   2014-07-31
1815   9872283    Keck     NIRC2        K'   99.99   4.41   0.03   2014-07-31
1815   9872283  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2012-09-14
1815   9872283  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
1816   8624520  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-28
1818   7870032  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-14
1819   9597058  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1820   8277797  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-13
1820   8277797    WIYN      DSSI     692nm    0.05   2.70    0.2   2012-10-03
1820   8277797    WIYN      DSSI     880nm    0.05   2.39    0.2   2012-10-03
1821   8832512  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-17
1822   5124667    Lick     IRCAL         H    0.30   3.07    0.5   2012-07-08
1822   5124667  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1822   5124667    WIYN      DSSI     692nm    0.05   2.89    0.2   2011-09-10
1822   5124667    WIYN      DSSI     880nm    0.05   2.98    0.2   2011-09-10
1824   2989404    Lick     IRCAL         H    0.30   3.03    0.5   2012-07-09
1824   2989404    Lick     IRCAL         H    0.20   8.00    1.0   2012-09-02
1824   2989404  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1824   2989404  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2012-09-13
1824   2989404    Pal5     PHARO        Ks    0.15   3.07    0.5   2014-07-16
1824   2989404    WIYN      DSSI     880nm    0.05   2.58    0.2   2011-09-11
1824   2989404    WIYN      DSSI     692nm    0.05   3.37    0.2   2011-09-11
1825   5375194  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-14
1825   5375194    Pal5     PHARO        Ks    0.15   4.18    0.5   2014-08-13
1826   6468138    Lick     IRCAL         J    0.49   2.37    0.5   2011-09-10
1826   6468138  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-08-29
1826   6468138  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-25
1828  11875734  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-13
1829   7697568  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-23
1830   3326377    Keck     NIRC2  Br-gamma    0.06   7.64    0.5   2014-06-13
1830   3326377    Keck     NIRC2         J    0.04   7.22    0.5   2014-06-13
1830   3326377  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-27
1831  11601584     HST      WFC3     F555W    0.08   8.50    0.5   2014-08-31
1831  11601584     HST      WFC3     F775W    0.08   8.50    0.5   2014-08-31
1831  11601584    Lick     IRCAL         H    0.52   4.50    1.0   2013-07-19
1831  11601584  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-14
1832  11709244  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-13
1833  11853878     DCT      DSSI     692nm    0.04   3.45    0.2   2014-03-23
1833  11853878     DCT      DSSI     880nm    0.04   2.59    0.2   2014-03-23
1833  11853878    Keck     NIRC2        K'   99.99   7.90    0.5   2014-07-29
1833  11853878    Keck     NIRC2        K'   99.99   3.78   0.03   2014-07-29
1833  11853878  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-17
1835   9471268    Keck     NIRC2        K'   99.99   7.00    0.5   2012-08-12
1835   9471268    Keck     NIRC2        K'   99.99   0.33   0.03   2014-07-30
1835   9471268  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-13
1835   9471268    WIYN      DSSI     692nm    0.05   2.36    0.2   2013-09-24
1835   9471268    WIYN      DSSI     880nm    0.05   2.02    0.2   2013-09-24
1837  10657406  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
1838   5526527  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-21
1839   5856571    Lick     IRCAL         H    0.24   3.81    0.5   2012-09-01
1839   5856571  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1839   5856571  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-04-22
1840   7765528  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-17
1841  11760231    Keck     NIRC2        K'   99.99   7.40    0.5   2012-08-12
1841  11760231    Lick     IRCAL         H    0.19   3.87    0.5   2012-09-02
1841  11760231  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-08-29
1841  11760231  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-17
1842   7779077  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
1843   5080636    Keck     NIRC2        K'   99.99   3.76   0.03   2013-07-18
1843   5080636    Keck     NIRC2        K'   99.99   7.50    0.5   2013-07-18
1843   5080636    Keck     NIRC2        K'    0.05   8.00    0.5   2013-08-23
1843   5080636  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1845   3338885    Keck     NIRC2        Ks   99.99  99.99  99.99   2013-06-25
1845   3338885    Lick     IRCAL         H    0.44   4.70    1.0   2013-07-16
1845   3338885  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-13
1845   3338885  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-10-25
1845   3338885  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-25
1845   3338885  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-10-25
1846   9886255  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-02
1847   6776401  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-18
1848   7430034  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-13
1849   9735426  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
1849   9735426  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-19
1849   9735426  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-08-19
1850   8826168  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-14
1851  10464050  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-21
1852   9763348    Lick     IRCAL         H    0.17   4.15    0.5   2012-09-02
1852   9763348  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1853   8804397  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
1853   8804397    WIYN      DSSI     692nm    0.05   2.53    0.2   2013-09-25
1853   8804397    WIYN      DSSI     880nm    0.05   2.51    0.2   2013-09-25
1854   9662811  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1856  11570749  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-14
1857  11297236  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1857  11297236    WIYN      DSSI     880nm    0.05   2.22    0.2   2013-09-24
1857  11297236    WIYN      DSSI     692nm    0.05   2.53    0.2   2013-09-24
1858   8160953    Keck     NIRC2        K'   99.99  99.99  99.99   2012-08-26
1858   8160953  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
1860   4157325  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-14
1860   4157325    WIYN      DSSI     692nm    0.05   2.61    0.2   2012-10-04
1860   4157325    WIYN      DSSI     880nm    0.05   2.24    0.2   2012-10-04
1861   3648437  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
1862   7286173  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1862   7286173    WIYN      DSSI     692nm    0.05   2.29    0.2   2013-09-24
1862   7286173    WIYN      DSSI     880nm    0.05   2.59    0.2   2013-09-24
1863  11126381  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-29
1864   4149450  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
1866   9520838  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-02
1867   8167996    Keck     NIRC2        K'   99.99   7.90    0.5   2013-07-17
1867   8167996    Keck     NIRC2        K'   99.99   4.11   0.03   2013-07-17
1867   8167996    Lick     IRCAL         H    0.42   4.50    1.0   2013-07-19
1867   8167996  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-07-15
1868   6773862  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-07-15
1870  10187159  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
1871   9758089    Keck     NIRC2         J   99.99  99.99  99.99   2012-08-25
1871   9758089    Keck     NIRC2        K'   99.99  99.99  99.99   2012-08-25
1871   9758089  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
1872   9883311  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-02
1873   4939346    Keck     NIRC2        K'   99.99  99.99  99.99   2015-07-25
1873   4939346  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-24
1874   8978528  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-13
1875   9967771  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
1876  11622600    Keck     NIRC2        K'   99.99  99.99  99.99   2012-07-04
1876  11622600  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-22
1877  10454632    Keck     NIRC2        K'   99.99   4.39   0.03   2013-08-06
1877  10454632    Keck     NIRC2        K'   99.99   7.50    0.5   2013-08-06
1877  10454632  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-08-29
1877  10454632  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
1878   3098810    Lick     IRCAL         H    0.32   2.82    0.5   2012-08-06
1878   3098810  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1879   8367644    Keck     NIRC2        K'   99.99   3.78   0.03   2013-07-17
1879   8367644    Keck     NIRC2        K'   99.99   7.60    0.5   2013-07-17
1879   8367644  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-28
1880  10332883    Keck     NIRC2        K'   99.99   7.00    0.5   2012-08-12
1880  10332883    Keck     NIRC2        K'   99.99   2.61   0.03   2014-07-29
1880  10332883    Lick     IRCAL         H    0.32   5.40    1.0   2013-07-16
1880  10332883  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-07-15
1880  10332883  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-08-20
1880  10332883  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-08-20
1880  10332883  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-20
1881   4035640  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
1882   6205228  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-19
1883  11758544    Keck     NIRC2        K'    0.05   8.00    0.5   2013-08-21
1883  11758544     MMT     ARIES        Ks    0.15   8.00    1.0   2011-10-10
1883  11758544  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-29
1883  11758544    WIYN      DSSI     880nm    0.05   2.69    0.2   2011-09-10
1883  11758544    WIYN      DSSI     692nm    0.05   2.76    0.2   2011-09-10
1884   4851530    Keck     NIRC2        K'   99.99  99.99  99.99   2013-08-24
1884   4851530  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-13
1884   4851530  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-19
1885  11413812  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-13
1886   9549648     Gem      DSSI     880nm    0.02   4.09    0.2   2014-07-25
1886   9549648     Gem      DSSI     692nm    0.02   4.52    0.2   2014-07-25
1886   9549648    Lick     IRCAL         H    0.20   1.34    0.5   2012-07-08
1886   9549648  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-29
1888  10063802    Lick     IRCAL         H    0.41   2.59    0.5   2012-09-01
1888  10063802  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1889  11074178  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-13
1890   7449136     Gem      DSSI     692nm    0.02   4.60    0.2   2014-07-25
1890   7449136     Gem      DSSI     880nm    0.02   4.45    0.2   2014-07-25
1890   7449136    Keck     NIRC2        K'    0.05   8.00    0.5   2013-07-07
1890   7449136    Keck     NIRC2        K'   99.99   8.10    0.5   2014-08-13
1890   7449136    Keck     NIRC2        K'   99.99   3.90   0.03   2014-08-13
1890   7449136    Lick     IRCAL         J    0.20   8.00    1.0   2011-09-11
1890   7449136    Lick     IRCAL         J    0.33   2.74    0.5   2011-09-12
1890   7449136  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-29
1891   8680979    Keck     NIRC2        K'   99.99  99.99  99.99   2013-08-24
1891   8680979  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-13
1892   9030537  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-31
1893   8689793    Lick     IRCAL         H    0.29   5.60    1.0   2013-07-17
1893   8689793  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-14
1894  11673802    CAHA  AstraLux        i'    0.33   3.29    0.5   2012-05-25
1894  11673802    Keck     NIRC2        K'   99.99   7.50    0.5   2012-08-13
1894  11673802    Keck     NIRC2        K'   99.99   3.00   0.03   2012-08-13
1894  11673802  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-14
1895   4263293  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-13
1897   5695524  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-14
1898   7668663    Lick     IRCAL         H    0.30   3.07    0.5   2012-09-01
1898   7668663  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-08-29
1898   7668663  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-13
1899   7047922  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-27
1900   9353314  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-17
1901   3629967    WIYN      DSSI     880nm    0.05   2.14    0.2   2013-09-25
1901   3629967    WIYN      DSSI     692nm    0.05   2.79    0.2   2013-09-25
1902   5809954    Keck     NIRC2        K'   99.99   3.88   0.03   2013-07-18
1902   5809954    Keck     NIRC2        K'   99.99   7.40    0.5   2013-07-18
1902   5809954  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-22
1904   8766650    Keck     NIRC2        K'   99.99   8.00    0.5   2012-08-12
1904   8766650    Keck     NIRC2        K'   99.99   2.99   0.03   2014-07-29
1904   8766650  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-27
1905  10328393     LBT   LMIRCam        Ks   99.99  99.99  99.99   2013-10-22
1905  10328393    Lick     IRCAL         H    0.34   5.10    1.0   2013-07-17
1905  10328393  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-14
1906  11773328  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-10-22
1907   7094486    Keck     NIRC2        K'   99.99   7.00    0.5   2013-07-28
1907   7094486  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-07-15
1908   5706966    Keck     NIRC2        K'   99.99  99.99  99.99   2012-08-25
1908   5706966    Keck     NIRC2        K'   99.99  99.99  99.99   2012-08-26
1908   5706966    Keck     NIRC2        K'   99.99   7.80    0.5   2014-08-13
1908   5706966    Keck     NIRC2        K'   99.99   4.37   0.03   2014-08-13
1908   5706966    Lick     IRCAL         H    0.39   4.90    1.0   2013-07-19
1908   5706966  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
1909  10130039    Lick     IRCAL         H    0.27   3.17    0.5   2012-07-10
1909  10130039    Lick     IRCAL         H    0.20   8.00    1.0   2012-08-05
1909  10130039  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-13
1909  10130039    Pal5     PHARO        Ks    0.15   3.07    0.5   2014-07-16
1909  10130039    WIYN      DSSI     692nm    0.05   2.90    0.2   2011-09-11
1909  10130039    WIYN      DSSI     880nm    0.05   2.63    0.2   2011-09-11
1910   8226050  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-19
1911   9965957  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-22
1913   9704384     MMT     ARIES        Ks    0.15   8.00    1.0   2012-10-03
1913   9704384  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1914   8426567  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
1915   9101496  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-14
1916   6037581  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-13
1916   6037581    WIYN      DSSI     880nm    0.05   2.40    0.2   2012-09-27
1916   6037581    WIYN      DSSI     692nm    0.05   2.49    0.2   2012-09-27
1917  10074466  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-29
1920   8218379  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-13
1921   7755636    Lick     IRCAL         H    0.33   2.77    0.5   2012-07-10
1921   7755636    Lick     IRCAL         H    0.20   8.00    1.0   2012-08-05
1921   7755636  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-14
1921   7755636    WIYN      DSSI     692nm    0.05   2.66    0.2   2011-09-11
1921   7755636    WIYN      DSSI     880nm    0.05   2.15    0.2   2011-09-11
1922   9411166  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-13
1923   4989057  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-29
1924   5108214    CAHA  AstraLux        i'    0.58   2.70    0.5   2012-05-27
1924   5108214    Keck     NIRC2        K'   99.99   3.94   0.03   2012-07-05
1924   5108214    Lick     IRCAL         J    0.20   8.00    1.0   2012-07-06
1924   5108214  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-29
1924   5108214    Pal5     PHARO  Br-gamma    0.10   7.20    0.5   2012-06-07
1925   9955598    CAHA  AstraLux        i'    0.54   2.82    0.5   2012-05-27
1925   9955598    Keck     NIRC2        K'   99.99   5.90    0.5   2012-08-14
1925   9955598    Keck     NIRC2        K'   99.99   4.31   0.03   2012-08-14
1925   9955598    Keck     NIRC2        K'    0.10   8.00    1.0   2013-06-13
1925   9955598  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-29
1925   9955598    Pal5     PHARO  Br-gamma    0.10   7.26    0.5   2012-06-07
1925   9955598    WIYN      DSSI     880nm    0.05   3.85    0.2   2013-05-25
1925   9955598    WIYN      DSSI     692nm    0.05   3.64    0.2   2013-05-25
1927   7219761    Pal5     PHARO        K'    0.11   6.00    0.5   2013-06-25
1928   5770074  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-08-29
1929  10136549    Lick     IRCAL         H    0.22   3.67    0.5   2012-07-10
1929  10136549    Lick     IRCAL         H    0.20   8.00    1.0   2012-08-05
1929  10136549  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-13
1929  10136549    Pal5     PHARO        Ks    0.15   3.12    0.5   2014-07-16
1930   5511081    Keck     NIRC2        K'    0.05   8.00    0.5   2013-08-21
1930   5511081    Lick     IRCAL         H    0.25   3.53    0.5   2012-07-07
1930   5511081  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-13
1931  10978763  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-13
1932   5202905    Keck     NIRC2         H    0.04   4.36    0.5   2014-07-17
1932   5202905    Keck     NIRC2         J    0.04   3.95    0.5   2014-07-17
1932   5202905    Keck     NIRC2        Ks    0.04   4.76    0.5   2014-07-17
1932   5202905    Lick     IRCAL         H    0.30   2.84    0.5   2012-07-08
1932   5202905  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-14
1932   5202905    Pal5     PHARO        Ks    0.15   3.12    0.5   2014-07-13
1933   9072190  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-16
1934   4242147    Keck     NIRC2         J   99.99  99.99  99.99   2012-08-25
1934   4242147    Keck     NIRC2        K'   99.99  99.99  99.99   2012-08-25
1934   4242147    Keck     NIRC2        K'   99.99   7.30    0.5   2013-07-28
1934   4242147  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-27
1935   5396122  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-17
1937  10190777    Keck     NIRC2        K'   99.99   3.29   0.03   2012-08-12
1937  10190777    Keck     NIRC2        K'   99.99   7.30    0.5   2012-08-12
1937  10190777  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
1937  10190777    WIYN      DSSI     880nm    0.05   2.24    0.2   2013-05-28
1937  10190777    WIYN      DSSI     692nm    0.05   3.05    0.2   2013-05-28
1938   9651234    Keck     NIRC2        K'   99.99  99.99  99.99   2012-08-25
1938   9651234  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-14
1939   7045496  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-19
1940  10005788    Keck     NIRC2        K'    0.05   8.00    0.5   2013-08-22
1940  10005788  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-13
1942   2832589  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-21
1944   2438513  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-14
1945  11656918    Lick     IRCAL         H    0.76   3.60    1.0   2013-09-17
1945  11656918  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-13
1946  10844890  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-15
1947  12253474    Lick     IRCAL         H    0.29   3.21    0.5   2012-07-08
1947  12253474  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2012-08-30
1950   3118797  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-22
1951   8081187  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-16
1952   7747425  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-13
1955   9892816    Lick     IRCAL         J    0.39   2.54    0.5   2011-09-12
1955   9892816  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-13
1955   9892816    Pal5     PHARO        Ks    0.15   2.96    0.5   2014-07-17
1957  10028352  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-16
1957  10028352    WIYN      DSSI     880nm    0.05   2.14    0.2   2015-10-02
1957  10028352    WIYN      DSSI     692nm    0.05   3.01    0.2   2015-10-02
1958   9836149    Keck     NIRC2        K'   99.99  99.99  99.99   2012-05-29
1958   9836149  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-21
1958   9836149    WIYN      DSSI     880nm    0.05   1.58    0.2   2012-09-29
1958   9836149    WIYN      DSSI     692nm    0.05   2.31    0.2   2012-09-29
1959   4813563     HST      WFC3     F775W    0.08   8.50    0.5   2012-11-12
1959   4813563     HST      WFC3     F555W    0.08   8.50    0.5   2012-11-12
1959   4813563  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
1960   6949061  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-14
1961   7269493    Keck     NIRC2        K'   99.99   0.97   0.03   2014-07-31
1961   7269493    Keck     NIRC2        K'   99.99   8.20    0.5   2014-07-31
1961   7269493    Lick     IRCAL         H    0.20   8.00    1.0   2012-07-10
1961   7269493    Lick     IRCAL         H    0.25   3.59    0.5   2012-08-05
1961   7269493  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-30
1962   5513648     Gem      DSSI     692nm    0.02   4.20    0.2   2014-07-24
1962   5513648     Gem      DSSI     880nm    0.02   3.80    0.2   2014-07-24
1962   5513648    Keck     NIRC2        K'   99.99   6.30    0.5   2012-08-14
1962   5513648    Keck     NIRC2         J    0.03  99.99  99.99   2013-07-23
1962   5513648    Keck     NIRC2        K'    0.04  99.99  99.99   2013-07-23
1962   5513648    Lick     IRCAL         J    0.31   2.82    0.5   2011-09-11
1962   5513648  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-30
1962   5513648  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-04-22
1962   5513648  Pal1.5   Robo-AO        r'    0.12  99.99  99.99   2013-04-22
1962   5513648  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-04-22
1962   5513648  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-04-22
1962   5513648    Pal5     PHARO         J    0.11   6.00    0.5   2013-06-26
1962   5513648    Pal5     PHARO        K'    0.11   6.00    0.5   2013-06-26
1963  10917681  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-29
1964   7887791     Gem      DSSI     692nm    0.02   5.31    0.2   2013-07-27
1964   7887791     Gem      DSSI     880nm    0.02   4.90    0.2   2013-07-27
1964   7887791    Keck     NIRC2        K'   99.99   6.80    0.5   2012-07-06
1964   7887791    Keck     NIRC2        K'    0.04  99.99  99.99   2013-07-23
1964   7887791    Keck     NIRC2         J    0.03  99.99  99.99   2013-07-23
1964   7887791    Lick     IRCAL         J    0.24   3.27    0.5   2011-09-11
1964   7887791  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-30
1964   7887791    Pal5     PHARO        K'    0.11   6.00    0.5   2013-06-26
1964   7887791    Pal5     PHARO         J    0.11   6.00    0.5   2013-06-26
1965  11657891    Lick     IRCAL         H    0.41   4.80    1.0   2013-07-19
1965  11657891  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-17
1967   6205897    Keck     NIRC2        K'   99.99   1.59   0.03   2012-08-12
