 KOI   ID  KICID(primary) KICID(companion)  d["]   d_unc  PA[deg]  PA_unc   U        U_unc     B        B_unc     V        V_unc    F555W   F555W_unc  F775W   F775W_unc   i        i_unc     z       z_unc      LP600  LP600_unc   562    562_unc     692    692_unc     880    880_unc     J        J_unc     H        H_unc     K        K_unc
  103   B      2444412     2444412_blend   3.862   0.115    45.9    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.871    0.568    99.990   99.990     7.403    0.051
  105   B      8711794     8711794_blend   0.861   0.060   157.7    1.6    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.846    0.041     3.736    0.010
  105   C      8711794     8711794_blend   3.876   0.095    20.0    1.7    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.934    0.189     6.968    0.066     6.438    0.026
  106   B     10489525    10489525_blend   3.853   0.050   219.1    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     8.475    0.028    99.990   99.990    99.990   99.990
  107   B     11250587    11250587_blend   2.631   0.067   272.8    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.616    0.179    99.990   99.990    99.990   99.990
  108   B      4914423     4914423_blend   2.496   0.050    74.9    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.243    0.030    99.990   99.990    99.990   99.990
  108   C      4914423     4914423_blend   3.226   0.050   100.7    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.453    0.030    99.990   99.990    99.990   99.990
  109   B      4752451     4752451_blend   0.356   0.050    38.2    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.021    0.028    99.990   99.990    99.990   99.990
  111   B      6678383     6678383_blend   1.856   0.050   186.1    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.095    0.520    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
  112   B     10984090    10984090_blend   0.111   0.053   115.9    4.7    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.780    0.150     1.630    0.150     0.859    0.030    99.990   99.990     1.022    0.226
  113   B      2306756     2306756_blend   0.171   0.052   167.7    2.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.910    0.150     1.630    0.150    99.990   99.990    99.990   99.990    99.990   99.990     1.353    0.472
  113   C      2306756     2306756_blend   1.325   0.050   123.4    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.872    0.022
  113   D      2306756     2306756_blend   3.209   0.052   292.2    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     8.198    0.031    99.990   99.990     7.775    0.072
  113   E      2306756     2306756_blend   3.627   0.050    46.7    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.588    0.031    99.990   99.990     7.068    0.185
  115   B      9579641     9579641_blend   2.430   0.050   139.2    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.000    0.020
  116   B      8395660     8395660_blend   1.690   0.050   312.5    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     8.476    0.092
  116   C      8395660     8395660_blend   3.020   0.050   270.7    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     8.119    0.062
  118   B      3531558     3531558_blend   1.334   0.103   213.8    1.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.030    0.150     4.330    0.150     4.116    0.034    99.990   99.990     3.847    0.035
  119   B      9471974     9471974_blend   1.044   0.051   119.3    1.4    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.870    0.220    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.160    0.100    99.990   99.990     0.064    0.111
  120   B     11869052    11869052_blend   1.620   0.147   129.2    1.4     0.390    0.032     0.411    0.037     0.438    0.030    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.030    0.150     1.720    0.150     1.035    0.010    99.990   99.990    99.990   99.990
  121   B      3247396     3247396_blend   2.881   0.050   168.2    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.702    0.034    99.990   99.990    99.990   99.990
  121   C      3247396     3247396_blend   3.717   0.050   189.1    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.732    0.034    99.990   99.990    99.990   99.990
  126   B      5897826     5897826_blend   0.340   0.050    36.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.970    0.150    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
  126   C      5897826     5897826_blend   3.096   0.050   225.8    1.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.929    0.300    99.990   99.990    99.990   99.990
  126   D      5897826     5897826_blend   3.642   0.052    85.5    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.983    0.085    99.990   99.990    99.990   99.990
  132   B      8892910     8892910_blend   1.444   0.050   356.9    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.891    0.010    99.990   99.990    99.990   99.990
  141   B     12105051    12105051_blend   1.086   0.060    12.8    1.7    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.390    0.230    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.200    0.020    99.990   99.990     1.357    0.038
  144   B      4180280     4180280_blend   3.311   0.050   327.3    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.111    0.043
  144   C      4180280     4180280_blend   3.574   0.050   336.9    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     8.074    0.090
  148   B      5735762     5735762_blend   2.502   0.067   245.9    1.7    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.037    0.131    99.990   99.990     4.892    0.026
  150   B      7626506     7626506_blend   2.626   0.050   257.3    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.018    0.151    99.990   99.990    99.990   99.990
  152   B      8394721     8394721_blend   2.498   0.051    29.6    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.469    0.167
  154   B      9970525     9970525_blend   3.883   0.050   339.6    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.273    0.029    99.990   99.990    99.990   99.990
  157   B      6541920     6541920_blend   1.315   0.081   179.1    1.5    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.571    0.123
