 KOI   KICID      CP   PC   FP     Rp_min   KOI_Rp  Teq_min KOI_Teq    Kepmag      V         Ks     Observatories
 266    7375348    1    1    0       1.8    266.02    698    266.02     11.47     11.89     10.38   Lick,Pal1.5,Pal5,WIYN
 267    8167959    0    0    1   15049.8    267.01    398    267.01     10.46     10.60      8.94   Pal5
 268    3425851    0    1    0       3.0    268.01    470    268.01     10.56     10.77      9.60   Gem,Keck,MMT,Pal1.5,Pal5,WIYN
 269    7670943    0    1    0       1.8    269.01    893    269.01     10.93     11.08      9.75   Gem,Keck,MMT,Pal1.5,WIYN
 270    6528464    2    0    0       1.6    270.01    665    270.02     11.41     11.47      9.70   Gem,Keck,MMT,Pal1.5,Pal5,WIYN
 271    9451706    3    0    0       1.5    271.03    593    271.01     11.48     11.73     10.23   Keck,MMT,Pal1.5,Pal5,WIYN
 273    3102384    1    0    0       1.9    273.01    848    273.01     11.46     11.69      9.97   Gem,Keck,MMT,Pal1.5,Pal5,WIYN
 274    8077137    2    0    0       1.4    274.02    846    274.02     11.39     11.45     10.11   Gem,Keck,MMT,Pal1.5,Pal5,WIYN
 275   10586004    2    0    0       2.3    275.01    521    275.02     11.70     11.88     10.25   Keck,Pal1.5,Pal5,WIYN
 276   11133306    1    0    0       2.4    276.01    585    276.01     11.85     11.99     10.48   Keck,Pal1.5,Pal5,WIYN
 277   11401755    2    0    0       1.5    277.02    928    277.01     11.87     12.43     10.79   Lick,Pal1.5,Pal5,WIYN
 279   12314973    3    0    0       0.9    279.03    767    279.01     11.68     11.77     10.43   Gem,Keck,Lick,Pal1.5,WIYN
 280    4141376    0    1    0       1.9    280.01    861    280.01     11.07     11.24      9.78   Keck,Lick,Pal1.5,Pal5,WIYN
 281    4143755    1    0    0       2.5    281.01    794    281.01     11.95     12.15     10.45   Keck,Pal1.5,Pal5,WIYN
 282    5088536    3    0    0       1.0    282.02    448    282.03     11.53     12.05     10.49   Keck,Lick,Pal1.5,Pal5,WIYN
 283    5695396    2    1    0       0.7    283.03    600    283.02     11.52     11.73     10.08   Keck,Pal1.5,Pal5,WIYN
 284    6021275    4    0    0       1.0    284.03    404    284.04     11.82     11.85     10.42   Gem,Keck,Pal1.5,Pal5,WIYN
 285    6196457    3    0    0       2.0    285.03    639    285.03     11.56     11.98     10.40   Keck,Pal1.5,Pal5,WIYN
 286    8258171    0    0    1       3.7    286.01   1358    286.01     11.64     11.69     11.00   WIYN
 287    8703887    0    0    1      20.5    287.01   1287    287.01     11.05     10.10      9.58   WIYN
 288    9592705    0    0    1       3.2    288.01   1219    288.01     11.02     11.15      9.70   Keck,Lick,Pal1.5,WIYN
 289   10386922    1    1    0       2.9    289.01    322    289.02     12.75     12.78     11.19   Keck,Lick,Pal1.5,Pal5,WIYN
 291   10933561    2    0    0       1.9    291.02    683    291.01     12.85     13.10     11.32   Keck,Lick,Pal1.5,Pal5,WIYN
 292   11075737    1    0    0       1.6    292.01   1331    292.01     12.87     13.03     11.35   Keck,Pal1.5,Pal5,WIYN
 293   11200415    0    0    1       1.5    293.01   1478    293.01     12.06     12.15     10.84   WIYN
 294   11259686    1    0    0       2.0    294.01    585    294.01     12.67     12.83     11.31   Gem,Lick,Pal1.5,Pal5,WIYN
 295   11547513    2    0    0       1.6    295.02   1054    295.02     12.32     12.45     10.95   Lick,Pal1.5,Pal5,WIYN
 296   11802615    1    0    0       2.2    296.01    639    296.01     12.94     13.10     11.47   Lick,Pal1.5,WIYN
 297   11905011    1    0    0       1.5    297.01   1233    297.01     12.18     12.33     10.88   Lick,Pal1.5,WIYN
 298   12785320    1    1    0       1.7    298.02    472    298.02     12.71     13.19     10.89   CAHA,Gem,Keck,Lick,Pal1.5,Pal5,WIYN
 299    2692377    1    0    0       1.8    299.01   1437    299.01     12.90     13.16     11.25   Keck,Lick,Pal1.5,WIYN
 300    3438975    0    0    1       1.6    300.01   1548    300.01     12.30     12.49     10.82   WIYN
 301    3642289    2    0    0       1.1    301.02    954    301.02     12.73     12.87     11.46   Lick,Pal1.5,Pal5,WIYN
 302    3662838    1    0    1       5.0    302.01    933    302.01     12.06     12.11     10.99   Keck,Lick,Pal1.5,Pal5,WIYN
 303    5966322    1    0    0       2.9    303.01    474    303.01     12.19     12.36     10.63   Keck,Pal1.5,Pal5,WIYN
 304    6029239    1    1    0       1.0    304.02   1252    304.01     12.55     12.69     11.11   Lick,Pal1.5,Pal5,WIYN
 305    6063220    1    0    0       1.9    305.01    822    305.01     12.97     13.37     10.76   Keck,Lick,Pal1.5,WIYN
 306    6071903    1    0    0       2.1    306.01    535    306.01     12.63     12.88     10.76   Keck,Pal1.5,Pal5,WIYN
 307    6289257    2    0    0       1.0    307.02    709    307.01     12.80     12.97     11.49   Gem,Lick,Pal1.5,Pal5,WIYN
 308    6291837    0    1    0       3.0    308.01    613    308.01     12.35     12.54     11.04   Lick,Pal1.5,WIYN
 309    7024222    0    0    1       0.5    309.01   1083    309.01     12.84     13.34     10.48   WIYN
 312    7050989    2    0    0       1.8    312.02    812    312.02     12.46     11.97     10.52   Keck,Lick,Pal1.5,Pal5,WIYN
 313    7419318    2    0    0       1.7    313.02    580    313.01     12.99     13.24     11.16   Keck,Pal1.5,Pal5,WIYN
 314    7603200    3    0    0       0.6    314.03    335    314.02     12.93     13.31      9.51   Gem,Keck,Lick,Pal1.5,Pal5,WIYN
 315    7700622    0    1    0       2.3    315.01    403    315.01     12.97     13.37     10.81   Keck,Lick,Pal1.5,WIYN
 316    8008067    2    1    0       2.0    316.03    357    316.02     12.70     12.94     11.17   Keck,Pal1.5,Pal5,WIYN
 317    8121310    1    0    0       3.7    317.01    940    317.01     12.89     13.11     11.67   Lick,Pal1.5,WIYN
 318    8156120    1    0    0       4.8    318.01    652    318.01     12.21     12.37     11.07   Lick,Pal1.5,Pal5,WIYN
 319    8684730    0    1    0      10.6    319.01    710    319.01     12.71     12.25     10.75   Lick,Pal1.5,Pal5,WIYN
 321    8753657    2    0    0       0.8    321.02   1053    321.02     12.52     12.84     10.97   Keck,Lick,Pal1.5,WIYN
 323    9139084    1    0    0       1.9    323.01    892    323.01     12.47     12.72     10.83   Gem,Keck,Lick,Pal1.5,WIYN
 326    9880467    0    2    0      33.8    326.02    985    326.02     12.96     13.22     13.09   CAHA,Lick,Pal1.5,Pal5,WIYN
 327    9881662    2    0    0       1.4    327.01    435    327.02     13.00     13.12     11.71   Gem-AO,Lick,Pal1.5,Pal5,WIYN
 330   11361646    2    0    0       1.0    330.02   1062    330.01     13.93     14.16     12.38   CAHA,MMT,Pal1.5,WIYN
 331   10285631    1    0    0       3.6    331.01    829    331.01     13.50     13.73     11.80   Lick,Pal1.5
 332   10290666    1    1    0       0.8    332.02   1043    332.02     13.05     13.29     11.48   Lick,Pal1.5,Pal5,WIYN
 333   10337258    1    0    0       2.2    333.01    893    333.01     13.39     13.52     12.12   Lick,Pal1.5
 337   10545066    1    1    0       1.6    337.02    340    337.02     13.94     14.12     12.41   CAHA,Pal1.5
 338   10552611    2    0    0      16.2    338.02   3021    338.01     13.45     13.81     11.39   CAHA,Keck,Pal1.5,Pal5
 339   10587105    2    1    0       1.5    339.01    564    339.03     13.76     13.91     12.42   CAHA,Pal1.5,WIYN
 340   10616571    0    0    1      18.4    340.01    678    340.01     13.06     13.39     11.44   Lick,Pal1.5,Pal5,WIYN
 341   10878263    2    0    0       2.2    341.02    895    341.01     13.34     13.60     11.70   MMT,Pal1.5,WIYN
 343   10982872    3    0    0       1.4    343.03    587    343.03     13.20     13.41     11.76   CAHA,Lick,Pal1.5,Pal5,WIYN
 344   11015108    1    0    0       3.6    344.01    576    344.01     13.40     13.62     11.90   Pal1.5,Pal5
 345   11074541    1    0    0       2.8    345.01    453    345.01     13.34     13.77     11.18   CAHA,Keck,Pal1.5,WIYN
 346   11100383    1    0    0       2.6    346.01    642    346.01     13.52     13.80     11.55   CAHA,Keck,Pal1.5,WIYN
 348   11194032    1    0    0       8.2    348.01    669    348.01     13.93     14.47     11.68   Keck,Pal1.5,WIYN
 349   11394027    0    1    0       2.8    349.01    810    349.01     13.59     13.76     12.05   CAHA,Pal1.5
