 KOI   KICID      CP   PC   FP     Rp_min   KOI_Rp  Teq_min KOI_Teq    Kepmag      V         Ks     Observatories
2212   10203349    1    0    0       1.8   2212.01    686   2212.01     14.94     15.18     13.43   Pal1.5
2213    7457296    1    0    0       1.5   2213.01    957   2213.01     15.44     15.79     13.31   Pal1.5
2215    7050060    0    1    0       1.0   2215.01    760   2215.01     13.00     14.22     12.29   Gem,Keck,Lick,Pal1.5
2216    4248120    0    1    0       2.4   2216.01    602   2216.01     15.23     15.54     13.49   Pal1.5
2217    9580992    0    1    0      18.2   2217.01    460   2217.01     15.19     15.54     13.28   Pal1.5
2218   12058204    2    0    0       1.1   2218.02    665   2218.02     14.51     14.78     12.86   Pal1.5
2219    5357545    0    1    0       1.2   2219.01    907   2219.01     14.10     14.51     12.16   Lick,Pal1.5
2220    6871071    3    2    0       1.0   2220.04    797   2220.05     14.69     14.90     13.14   Pal1.5
2221    6287313    1    0    0       2.3   2221.01    871   2221.01     15.40     15.41     13.88   Pal1.5
2222    9289704    0    1    0      13.6   2222.01   1526   2222.01     12.96     12.77     11.91   Lick,Pal1.5
2223    9278725    1    0    0       1.6   2223.01   1396   2223.01     15.28     15.65     13.20   Pal1.5
2224    8892157    1    1    0       1.3   2224.01    391   2224.02     14.97     15.15     13.30   Pal1.5
2225   11569782    1    0    0       2.4   2225.01   1432   2225.01     14.44     14.89     12.13   Keck,Pal1.5
2226   11520459    0    1    0       2.8   2226.01    805   2226.01     15.34     15.65     13.42   Pal1.5
2227   10600955    1    0    0       2.5   2227.01    456   2227.01     14.87     15.17     13.13   HST,Pal1.5
2228   10801100    0    0    1       2.1   2228.01    491   2228.01     12.68     12.93     11.75   Lick,Pal1.5
2229    4473226    0    1    0       3.5   2229.01    729   2229.01     15.71     15.98     14.09   Pal1.5
2232    2854181    0    2    0       1.5   2232.02    380   2232.01     15.33     15.61     13.57   Pal1.5
2236   10723367    2    0    0       1.6   2236.02    629   2236.01     15.70     15.92     14.08   Pal1.5
2237    5005121    0    1    0       2.9   2237.01    442   2237.01     15.16     15.36     13.61   Pal1.5
2238    8229458    1    0    0       0.9   2238.01    840   2238.01     14.63     15.54     11.68   Keck,Pal1.5
2241    5125347    0    1    0       2.5   2241.01   1034   2241.01     15.30     15.68     13.72   Pal1.5
2242    9336200    1    0    0       1.7   2242.01   1349   2242.01     15.76     16.14     14.03   Pal1.5
2243    4770617    2    0    0       1.7   2243.01    950   2243.02     14.81     15.02     13.35   Pal1.5
2245    4454934    1    0    0       2.2   2245.01    609   2245.01     14.74     14.99     13.18   Pal1.5
2246    9458343    1    0    0       1.2   2246.01    812   2246.01     14.15     14.32     12.66   Lick,Pal1.5
2247    7802719    1    0    0       1.0   2247.01    732   2247.01     14.37     14.85     12.02   Keck,Pal1.5
2248   11030475    0    3    1       1.0   2248.04    704   2248.02     15.50     15.86     13.64   HST,Pal1.5
2250    5942808    0    2    0       1.7   2250.02   1023   2250.01     15.62     16.00     13.39   Pal1.5
2252    6206214    1    0    0       1.5   2252.01    952   2252.01     13.63     13.78     12.27   Pal1.5,WIYN
2253    8959839    1    0    0       1.8   2253.01    677   2253.01     14.57     14.77     13.16   Pal1.5
2255    7672097    1    0    0       2.0   2255.01    842   2255.01     15.83     16.08     14.16   Pal1.5
2256    9112931    1    0    0       1.9   2256.01    468   2256.01     15.81     16.43     13.14   Pal1.5
2257    9071593    1    1    0       1.8   2257.02    418   2257.02     15.48     15.66     13.75   Pal1.5
2259    8126558    0    1    0       2.8   2259.01    763   2259.01     15.36     15.64     13.58   Pal1.5
2260   11811193    1    0    0       0.9   2260.01   1150   2260.01     12.17     12.28     10.97   CAHA,Keck,Lick,Pal1.5,WIYN
2261    3734418    1    1    0       0.9   2261.02    828   2261.02     14.11     14.45     12.20   Pal1.5,WIYN
2263    8613535    1    1    0       1.4   2263.02    647   2263.01     14.46     14.56     13.07   Pal1.5
2264   12256520    1    0    0       1.9   2264.01    563   2264.01     14.48     14.74     12.74   HST,Pal1.5
2266   10489345    1    0    0       1.7   2266.01   1421   2266.01     15.94     16.32     13.66   Pal1.5
2269   11774303    0    1    0       2.8   2269.01   2602   2269.01     15.18     15.34     13.92   Pal1.5
2271   10329469    1    0    0       2.2   2271.01    379   2271.01     15.62     16.05     13.69   Pal1.5
2272    9654875    0    0    1       1.8   2272.01   3016   2272.01     12.78     12.88     11.84   Lick,Pal1.5,WIYN
2273    9717943    1    0    0       1.0   2273.01   1123   2273.01     12.72     12.88     11.41   Lick,Pal1.5,WIYN
2274    7960980    1    0    0       2.6   2274.01    704   2274.01     15.91     16.25     13.81   Pal1.5
2276    3458028    1    0    0       2.7   2276.01   2700   2276.01     11.56     11.57     10.55   Lick,Pal1.5,WIYN
2278    3342794    2    0    0       0.9   2278.02    804   2278.01     13.78     13.99     12.32   Pal1.5,WIYN
2279    3661886    2    0    0       1.2   2279.02    626   2279.01     13.86     14.08     12.47   Pal1.5,WIYN
2280    2439243    1    0    0       3.3   2280.01    586   2280.01     15.89     16.15     14.14   Pal1.5
2281    9221517    1    0    1       0.9   2281.01   1643   2281.01     13.83     14.13     11.88   Pal1.5
2282    6751874    1    0    0       1.4   2282.01    962   2282.01     14.21     14.35     12.76   Lick,Pal1.5
2283   10206675    0    0    1       1.4   2283.01    402   2283.01     15.24     15.88     12.50   Keck,Lick,Pal1.5
2285    9945370    1    0    0       3.0   2285.01    516   2285.01     15.94     16.24     14.15   Pal1.5
2286    8973129    1    0    0       1.9   2286.01    552   2286.01     15.06     15.32     13.31   HST,Pal1.5
2287    9718066    2    0    0       1.8   2287.02    668   2287.02     12.48     12.91     10.20   Keck,Lick,Pal1.5,WIYN
2288    3440978    0    1    0       3.2   2288.01    456   2288.01     15.47     15.82     13.47   Pal1.5
2289    3867615    2    0    0       1.4   2289.02    523   2289.01     13.36     13.58     12.01   Pal1.5,Pal5,WIYN
2290   12121570    0    1    0       1.9   2290.01    315   2290.01     14.45     14.92     12.53   HST,Keck,Pal1.5
2291    8410415    0    1    0       2.3   2291.01    433   2291.01     15.11     15.49     13.33   Pal1.5
2293    8321314    0    1    0       1.9   2293.01    723   2293.01     14.84     15.15     13.04   Pal1.5
2294    6934986    0    1    0       2.5   2294.01    364   2294.01     14.90     15.07     13.33   Pal1.5,WIYN
2295    4049901    0    1    0       0.6   2295.01    662   2295.01     11.67     12.01      9.68   Keck,Lick,Pal1.5,WIYN
2296   11498128    1    0    0       2.0   2296.01    397   2296.01     14.55     14.74     12.97   Keck,Pal1.5
2297    5342473    0    1    0       1.5   2297.01   1209   2297.01     14.34     14.56     12.83   Pal1.5
2298    9334893    1    0    1       0.7   2298.02    378   2298.02     13.83     14.24     11.73   MMT,Pal1.5
2299    9963265    0    1    0      78.5   2299.01    754   2299.01     15.31     15.61     13.84   Pal1.5
2300   10583761    1    0    0       1.3   2300.01   1137   2300.01     14.08     14.35     12.19   Lick,Pal1.5
2303    4458082    1    1    0       1.6   2303.01   1111   2303.02     13.83     13.62     12.36   Pal1.5
2304    8042453    1    0    0       2.0   2304.01    796   2304.01     15.36     15.62     13.67   Pal1.5
2305   10874215    0    1    0       2.7   2305.01    561   2305.01     15.73     15.96     14.15   Pal1.5
2306    6666233    0    1    0       0.9   2306.01   1227   2306.01     14.78     15.53     11.83   Keck,Pal1.5
2307    7661065    0    1    0      48.7   2307.01   1002   2307.01     14.85     15.18     13.04   Pal1.5
2308    3749978    1    0    0       2.4   2308.01    555   2308.01     15.78     16.14     14.01   Pal1.5
2309   10010440    1    0    0       2.6   2309.01    529   2309.01     14.95     15.11     13.49   Pal1.5
2310   11718144    0    1    0       2.0   2310.01    678   2310.01     14.64     14.86     13.06   Pal1.5
2311    4247991    1    2    0       0.8   2311.02    310   2311.01     12.57     12.79     10.98   Gem,Keck,Lick,Pal1.5,WIYN
2312   10026544    0    1    0       2.4   2312.01    505   2312.01     12.98     12.79     11.32   Lick,Pal1.5,WIYN
2313   10132832    1    0    0       2.4   2313.01    723   2313.01     15.31     15.49     13.67   Pal1.5
2314    3219995    1    0    0       2.3   2314.01    701   2314.01     14.56     14.94     13.15   Pal1.5
2315    6062929    0    1    0       2.1   2315.01    507   2315.01     15.57     15.88     13.57   Pal1.5
2316    7504778    1    0    0       2.2   2316.01    781   2316.01     15.00     15.20     13.52   Pal1.5
2317   10684670    1    0    0       1.8   2317.01   1276   2317.01     14.28     14.49     12.68   Keck,Pal1.5
2318   11495458    1    0    0       1.3   2318.01    601   2318.01     14.47     14.89     12.21   Lick,Pal1.5
2319    9003401    0    1    0       1.7   2319.01    804   2319.01     13.35     13.51     12.08   Pal1.5,WIYN
2321    5978559    0    2    0       1.5   2321.02    449   2321.01     14.71     14.90     13.41   HST,Pal1.5
2323    8872048    0    1    0       0.5   2323.01    422   2323.01     15.48     15.79     13.43   Pal1.5
2324    7746958    0    1    0       1.7   2324.01   1711   2324.01     11.67     11.93     14.53   CAHA,Lick,Pal1.5,Pal5
2325    7120108    0    1    0       1.4   2325.01   1468   2325.01     14.41     14.78     12.35   Lick,Pal1.5
2327   10730703    1    1    0       1.4   2327.02    441   2327.02     15.38     15.57     13.53   Pal1.5
2328    8007644    1    0    0       2.6   2328.01    600   2328.01     15.68     16.29     13.92   Pal1.5
2329   11192235    0    1    0       1.2   2329.01    810   2329.01     15.65     16.41     12.67   Keck,Pal1.5
2331   12401863    1    0    0       1.1   2331.01   1375   2331.01     13.47     13.65     12.06   MMT,Pal1.5
2332    5534941    0    1    0       1.5   2332.01   1461   2332.01     13.02     13.31     11.17   Keck,Lick,Pal1.5
2333   11121752    2    0    0       1.1   2333.01   1015   2333.02     13.65     13.82     12.29   Pal1.5,WIYN
2335    2990873    1    0    0       1.8   2335.01    783   2335.01     14.13     14.39     12.44   Pal1.5
2337    5599774    1    0    0       2.1   2337.01    702   2337.01     15.89     16.31     13.71   Pal1.5
2338    8099138    1    0    0       2.0   2338.01    431   2338.01     14.86     15.12     13.26   Pal1.5
2339    7033233    1    1    0       1.1   2339.01    312   2339.02     15.13     15.52     12.81   Gem,HST,Keck,Pal1.5
2340    8681734    1    0    0       1.8   2340.01    941   2340.01     14.78     15.05     13.01   Pal1.5
2342   10212441    1    0    0       1.1   2342.01    791   2342.01     13.04     13.24     11.58   Lick,Pal1.5
2343    6119141    0    1    0       2.7   2343.01    614   2343.01     14.41     14.68     12.69   Pal1.5
2344    8247771    1    0    0       1.0   2344.01   1182   2344.01     15.79     16.37     13.20   Pal1.5
2345    5629538    1    0    0       1.9   2345.01    789   2345.01     14.72     14.97     13.16   Pal1.5
2346    8561231    1    0    0       2.4   2346.01    546   2346.01     15.66     15.87     13.95   Pal1.5
2347    8235924    1    0    0       1.0   2347.01   1233   2347.01     14.93     15.61     12.06   Keck,Pal1.5
2348    6941084    1    0    0       3.1   2348.01    448   2348.01     15.30     15.54     13.77   Pal1.5
2350    6200235    1    0    0       1.8   2350.01   1665   2350.01     15.14     15.48     13.26   Pal1.5
2351    1872821    0    1    0       1.7   2351.01    774   2351.01     14.91     15.19     13.33   Pal1.5
2352    8013439    2    1    0       1.3   2352.03   1198   2352.01     10.42     10.71      9.50   CAHA,Keck,Lick,Pal1.5,Pal5,WIYN
2353   12505654    0    1    0       2.2   2353.01    862   2353.01     14.99     15.30     13.08   Pal1.5
2354    7215678    0    1    0      68.6   2354.01   1757   2354.01     14.52     14.71     12.95   Pal1.5
2355   11670125    1    0    0       1.6   2355.01   1315   2355.01     15.98     16.03     13.74   Pal1.5
2356   11461844    1    0    0       1.5   2356.01    802   2356.01     14.50     14.73     13.02   Pal1.5
2357    7449554    0    2    0       1.7   2357.01    707   2357.02     15.61     15.98     13.93   Pal1.5
2358    5716932    0    1    0       2.1   2358.01    530   2358.01     13.52     13.66     12.26   Pal1.5
2361   11566256    0    1    0       2.3   2361.01   1051   2361.01     15.05     15.27     13.54   Pal1.5
2362    8495415    1    0    1       2.4   2362.02    665   2362.02     15.94     16.41     13.79   Pal1.5
2363    7987866    0    1    0       1.0   2363.01   1021   2363.01     14.36     14.74     12.35   Keck,Pal1.5
2364    9532710    0    1    0       3.4   2364.01   1367   2364.01     15.83     16.19     13.76   Pal1.5
2365   11560897    2    0    0       1.5   2365.02    423   2365.02     13.85     14.04     12.39   Gem,Pal1.5
2366   11342416    1    0    0       1.5   2366.01    775   2366.01     12.48     12.60     11.24   Lick,Pal1.5,WIYN
2367    9086251    0    1    0       1.3   2367.01   1146   2367.01     12.62     12.76     11.29   Lick,Pal1.5
2369    5602588    1    2    0       1.3   2369.03    840   2369.01     15.83     16.06     14.32   Pal1.5
2370    5385304    0    1    0       4.3   2370.01    578   2370.01     13.00     13.17     11.81   Lick,Pal1.5
2371   11824786    1    0    0       1.8   2371.01    795   2371.01     15.01     15.27     13.56   Pal1.5
2372   12254909    1    0    0       0.9   2372.01   1109   2372.01     13.39     13.54     11.99   MMT,Pal1.5
2373   10798331    0    1    0       1.8   2373.01    311   2373.01     14.69     14.88     13.05   Pal1.5,WIYN
2374    9364290    2    0    0       1.5   2374.01    771   2374.02     14.62     14.97     12.89   Lick,Pal1.5
2376   11701407    1    0    0       2.5   2376.01    591   2376.01     15.28     15.57     13.35   Pal1.5
2377    5906426    0    1    0       1.4   2377.01    646   2377.01     14.78     15.30     12.72   Keck,Pal1.5
2378   10813132    1    0    0       1.2   2378.01   1046   2378.01     14.43     14.71     12.71   Pal1.5
2379    9718379    0    0    1      75.6   2379.01    585   2379.01     15.04     15.27     13.51   Keck,Pal1.5
2380    3002478    0    1    0       1.7   2380.01    990   2380.01     14.22     14.41     12.67   Pal1.5
2383    9395024    1    0    0       1.5   2383.01   1155   2383.01     15.13     15.35     13.61   Pal1.5
2386    4172013    0    1    0      39.6   2386.01    651   2386.01     14.94     15.13     13.35   Pal1.5
2387   12254378    1    0    0       1.9   2387.01   1541   2387.01     15.30     15.48     13.81   Pal1.5
2389    8494617    1    0    0       1.4   2389.01    684   2389.01     13.58     13.81     12.18   Pal1.5,WIYN
2390   10289119    1    0    0       1.3   2390.01    825   2390.01     12.25     12.47     10.81   Gem,Keck,Lick,Pal1.5
2392    7382313    1    0    0       1.4   2392.01    923   2392.01     14.98     15.33     13.21   Pal1.5
2393    4665571    0    2    0       1.1   2393.02    821   2393.01     14.90     15.33     12.72   Pal1.5
2396   12115188    0    0    1       1.9   2396.01   2154   2396.01     14.67     14.99     12.85   Pal1.5
2397    9269042    1    0    0       1.6   2397.01    632   2397.01     15.56     15.86     13.66   Pal1.5
2398    6199056    0    1    0     115.1   2398.01   2289   2398.01     13.58     13.77     12.28   Pal1.5,WIYN
2399   11461433    1    0    0       0.7   2399.01   1134   2399.01     14.10     14.44     12.19   MMT,Pal1.5
2400    7984574    0    1    0       2.4   2400.01    758   2400.01     15.66     15.90     13.98   Pal1.5
2401   10336951    0    1    0       1.5   2401.01    359   2401.01     14.85     15.30     12.48   Gem,Keck,Lick,Pal1.5
2402    8481129    1    0    0       1.3   2402.01    557   2402.01     14.61     15.01     12.43   Pal1.5
2403    2142522    1    0    0       1.1   2403.01    852   2403.01     12.87     13.00     11.59   Pal1.5,WIYN
2404    6364215    0    1    1       1.2   2404.01   1378   2404.01     15.66     15.98     14.08   Pal1.5
2406    5007345    1    0    0       1.6   2406.01   1046   2406.01     14.69     14.97     13.28   Pal1.5
2407   12120484    1    0    0       1.4   2407.01    734   2407.01     14.15     14.40     12.65   Pal1.5
2408    6429812    1    0    0       2.2   2408.01    393   2408.01     14.18     14.38     12.51   Keck,Pal1.5
2409   10024051    1    0    0       1.5   2409.01   1768   2409.01     14.86     15.23     12.80   Pal1.5
2410    8676038    0    2    0       2.6   2410.01    322   2410.01     15.14     15.33     13.55   Pal1.5
2411    8073806    0    1    0       2.7   2411.01    808   2411.01     15.36     15.58     13.84   Pal1.5
2413    3234598    2    0    0       1.4   2413.02    420   2413.02     15.07     15.51     12.67   Keck,Pal1.5
2414    8611832    2    0    0       1.1   2414.01    491   2414.02     13.58     13.80     12.04   Pal1.5,WIYN
2415    5621586    0    1    0       2.2   2415.01   1094   2415.01     15.66     15.87     14.03   Pal1.5
2416    9210387    0    1    0       1.4   2416.01   1012   2416.01     15.47     15.61     13.84   Pal1.5
2417    9654468    0    1    0       3.6   2417.01    341   2417.01     16.22     16.27     13.43   Pal1.5
2418   10027247    1    0    0       1.1   2418.01    196   2418.01     15.47     16.37     12.37   Gem,Keck,Pal1.5
2419    6343170    1    0    0       2.8   2419.01    946   2419.01     15.31     15.51     13.91   Pal1.5
2420    7107802    1    1    0       0.9   2420.02    808   2420.01     14.75     14.97     13.18   Pal1.5
2421    8838950    0    2    0       0.5   2421.02    747   2421.02     14.36     14.83     12.26   Keck,MMT,Pal1.5
2422   11360805    1    1    0       2.0   2422.02    452   2422.02     14.80     15.10     12.97   Pal1.5
2423    9845898    1    0    0       2.4   2423.01    604   2423.01     14.69     14.88     13.26   Pal1.5
2424   12453581    1    0    0       2.9   2424.01    634   2424.01     15.91     16.26     13.80   Pal1.5
2426    8081899    1    0    0       0.7   2426.01    986   2426.01     13.89     14.12     12.20   MMT,Pal1.5,WIYN
2429    9911882    0    0    1       1.4   2429.01   1348   2429.01     15.11     15.50     13.41   Keck
2430    3533469    0    0    1       1.7   2430.01    804   2430.01     14.34     14.66     12.65   Pal1.5
2432    7047363    1    0    1       1.9   2432.01    487   2432.01     15.96     16.24     14.02   Pal1.5
2433   11968463    2    4    1       1.6   2433.06    476   2433.07     15.21     15.41     13.82   Pal1.5
2436    8570333    1    0    0       2.8   2436.01    366   2436.01     15.76     16.08     13.85   Pal1.5
2437    5036705    1    0    0       1.6   2437.01   1309   2437.01     14.73     15.07     13.26   Pal1.5
2439    6867555    1    1    0       1.2   2439.02   1054   2439.02     15.44     15.68     14.35   Pal1.5
2440    5339567    1    0    0       1.1   2440.01   1052   2440.01     13.99     14.23     12.36   Pal1.5
2442   11080405    2    0    0       1.3   2442.02    502   2442.01     15.63     15.94     13.60   Pal1.5
2443    9209624    2    0    0       1.1   2443.02    891   2443.02     13.99     14.11     12.54   Keck,Pal1.5,WIYN
2444    3354846    1    0    0       2.7   2444.01    614   2444.01     15.71     15.97     13.76   Pal1.5
2445    6516185    0    1    0       2.5   2445.01    481   2445.01     15.82     16.07     13.96   Pal1.5
2448    5857540    1    0    0       2.6   2448.01    639   2448.01     15.46     15.90     13.34   Pal1.5
2449   12208631    0    2    0       1.0   2449.02    476   2449.01     15.11     15.35     13.52   Pal1.5
2450    7289317    1    1    0       1.0   2450.02    685   2450.01     14.83     15.10     13.17   Pal1.5
2451    6500206    0    0    1       2.1   2451.01    722   2451.01     14.74     15.01     12.88   Pal1.5
2453    8631751    0    1    0       1.5   2453.01    712   2453.01     15.63     15.66     12.42   Keck,Pal1.5
2457    9753154    1    0    0       1.1   2457.01   1633   2457.01     12.40     12.45     11.27   Lick,Pal1.5
2458    7604328    2    0    0       1.6   2458.01   1043   2458.01     15.40     15.72     13.52   Pal1.5
2460   11236244    1    0    0       1.2   2460.01    554   2460.01     15.01     15.48     12.59   Pal1.5
2461    9837685    1    0    0       2.4   2461.01    679   2461.01     15.94     16.20     14.07   Pal1.5
2462    5042210    0    1    0       1.1   2462.01    911   2462.01     11.82     12.03     10.37   Gem,Keck,Lick,Pal1.5
2463   12454461    1    0    0       1.2   2463.01   1060   2463.01     12.77     12.90     11.45   Lick,Pal1.5,WIYN
2466    8544992    2    0    0       0.9   2466.01    515   2466.02     14.99     15.52     12.54   Pal1.5
2467   11818607    0    1    0       1.2   2467.01   1049   2467.01     14.63     14.89     13.03   Pal1.5
2468    8380709    1    0    0       1.8   2468.01    647   2468.01     15.37     15.61     13.83   Pal1.5
2469    6149910    0    1    0       2.5   2469.01    249   2469.01     15.05     15.47     12.73   Gem,Keck,Pal1.5
2470    9108085    0    0    1       0.9   2470.01   1311   2470.01     13.65     13.87     12.08   Pal1.5,WIYN
2471    5436013    0    1    0       1.6   2471.01    577   2471.01     14.56     14.88     12.74   Pal1.5
2472    9395719    1    0    0       2.2   2472.01   1444   2472.01     15.62     15.84     14.01   Pal1.5
2473    8753896    2    0    1       1.5   2473.03    636   2473.03     15.77     16.21     13.90   Pal1.5
2474    8240617    0    1    0      42.0   2474.01    291   2474.01     14.18     14.46     12.42   Gem,Keck,Pal1.5
2477    6846911    0    1    0       2.3   2477.01    822   2477.01     14.73     14.93     13.10   Pal1.5
2479    5963582    0    1    0       1.9   2479.01    770   2479.01     12.94     13.19     11.14   Keck,Lick,Pal1.5
2480    8189801    0    1    0       1.3   2480.01   1181   2480.01     15.74     16.42     12.88   Pal1.5
2481    4476423    0    1    0      16.0   2481.01   1326   2481.01     13.60     14.03     11.08   CAHA,Keck,Pal1.5
2482   11403389    1    0    0       1.9   2482.01    487   2482.01     14.98     15.19     13.27   Pal1.5
2483    9851662    1    0    0       1.3   2483.01    665   2483.01     14.50     14.84     12.69   Pal1.5
2484   10453588    1    0    0       1.2   2484.01    478   2484.01     12.46     12.65     11.02   Gem,Lick,Pal1.5
2485   11125613    3    0    0       1.3   2485.02    679   2485.01     15.31     15.70     13.29   Pal1.5
2486    8074328    0    1    0       1.4   2486.01   1371   2486.01     13.05     13.09     11.71   Keck,Lick,Pal1.5
2487    7212184    1    0    0       2.0   2487.01    572   2487.01     15.25     15.44     13.69   Pal1.5
2488    8559152    1    0    0       1.4   2488.01    972   2488.01     13.54     13.73     12.23   Pal1.5,WIYN
2489    2718778    0    1    0       1.9   2489.01   1077   2489.01     15.71     16.00     14.06   Pal1.5
2490    3122913    0    1    0       2.2   2490.01    606   2490.01     15.70     16.25     13.59   Pal1.5
2491    9229657    1    0    0       1.5   2491.01   1252   2491.01     15.55     15.82     13.85   Pal1.5
2492   11752632    1    0    0       0.8   2492.01   1846   2492.01     13.84     14.00     12.38   Pal1.5
2493   10028535    1    0    0       1.5   2493.01   1701   2493.01     15.30     15.69     13.28   Pal1.5
2494    7047207    1    0    0       1.5   2494.01    673   2494.01     14.84     15.08     13.18   Pal1.5
2497   11179076    1    0    0       2.4   2497.01    409   2497.01     15.60     15.96     13.56   Pal1.5
2498    5959719    2    0    0       0.8   2498.01    630   2498.02     13.94     14.26     12.07   Pal1.5
2503    8631504    0    1    0       1.0   2503.01    556   2503.01     14.15     14.55     11.94   Pal1.5
2504    8110767    0    1    0       3.1   2504.01    625   2504.01     15.93     16.22     14.06   Pal1.5
2506    6767840    1    0    0       1.9   2506.01    954   2506.01     15.18     15.40     13.63   Pal1.5
2507    8379705    0    1    0       2.1   2507.01    843   2507.01     15.86     16.29     14.19   Pal1.5
2508    8836888    0    1    0       1.6   2508.01    822   2508.01     15.16     15.44     13.37   Pal1.5
2509    9880190    1    0    0       1.1   2509.01    920   2509.01     15.03     15.40     13.08   Pal1.5
2512    9574158    0    1    0       8.5   2512.01    647   2512.01     15.52     15.83     13.86   Pal1.5
2513    9653622    0    1    0     103.2   2513.01    758   2513.01     14.84     15.17     13.37   Pal1.5
2516    7294743    0    1    0       1.2   2516.01   1602   2516.01     13.39     13.68     11.58   MMT,Pal1.5
2517    8947520    1    0    0       1.0   2517.01   1823   2517.01     14.51     14.71     12.90   Pal1.5
2519    4047631    0    1    0       1.1   2519.01    648   2519.01     14.45     14.95     12.04   Pal1.5
2520   10059645    1    0    0       1.5   2520.01    732   2520.01     15.60     15.99     13.20   Pal1.5
2521    7183745    1    1    0       1.6   2521.02    489   2521.01     15.86     16.18     13.82   Pal1.5
2522    9177629    0    1    0       2.4   2522.01   1142   2522.01     13.71     14.15     11.53   Keck,Pal1.5,WIYN
2523    7778767    1    1    0       1.3   2523.02    699   2523.01     15.83     15.99     13.94   Pal1.5
2524    7515762    1    0    0       2.1   2524.01    610   2524.01     15.27     15.45     13.76   Pal1.5
2525    5942949    0    1    0       2.1   2525.01    355   2525.01     15.70     16.15     13.42   HST,Pal1.5
2527    7879433    0    1    0       0.5   2527.01    989   2527.01     14.13     14.64     11.56   Keck,MMT,Pal1.5
2528    9205907    0    1    0      18.5   2528.01    776   2528.01     15.65     15.86     13.96   Pal1.5
2529    8463346    2    0    0       1.7   2529.01    271   2529.02     15.86     16.35     13.33   Gem,Keck,Pal1.5
2530    9011825    1    0    0       1.5   2530.01    604   2530.01     13.61     13.82     12.22   Pal1.5,WIYN
2531    4172746    0    1    0       2.0   2531.01    521   2531.01     15.44     15.86     13.16   Pal1.5
2532    5174858    0    1    0       1.9   2532.01    761   2532.01     15.43     15.81     13.43   Pal1.5
2533   11074835    1    1    1       2.4   2533.03    898   2533.03     13.27     13.65     11.24   Keck,Lick,Pal1.5
2534    1996180    1    1    0       1.0   2534.02   1113   2534.02     13.93     14.10     12.50   Pal1.5,WIYN
2535    9635606    0    1    0       1.4   2535.01    385   2535.01     14.98     15.40     12.78   Keck,Pal1.5
2536    3728701    1    0    0       2.4   2536.01    542   2536.01     14.42     14.63     12.89   Pal1.5
2538    1849702    0    1    0       1.3   2538.01    401   2538.01     14.12     14.43     12.15   Pal1.5
2541   12306058    2    0    0       2.2   2541.01    927   2541.02     13.01     13.34     10.97   Keck,Lick,Pal1.5,Pal5
2542    6183511    0    1    0       0.6   2542.01    779   2542.01     15.53     16.67     12.03   Keck,Pal1.5
2543   12469800    0    1    0       1.2   2543.01   1278   2543.01     15.35     15.77     13.39   Pal1.5
2544    8676148    1    0    0       2.6   2544.01    573   2544.01     15.83     16.05     14.26   Pal1.5
2545    9696358    1    0    0       1.3   2545.01   1398   2545.01     11.75     11.88     10.45   CAHA,Keck,Lick,Pal1.5,WIYN
2547    4484336    0    1    0       1.5   2547.01    946   2547.01     14.17     14.41     12.59   Pal1.5
2548    9580167    0    1    0       1.2   2548.01   1443   2548.01     14.99     15.28     12.66   Pal1.5
2550   11622985    0    1    0       2.1   2550.01    683   2550.01     15.42     15.65     13.86   Pal1.5
2551   11361283    0    1    0       1.7   2551.01    542   2551.01     15.85     16.38     13.77   Pal1.5
2552    8757824    1    0    0       1.2   2552.01   1320   2552.01     14.46     14.64     13.06   Pal1.5
2553    9832208    0    1    0       2.3   2553.01    325   2553.01     15.64     15.96     13.66   Pal1.5
2554   10471621    0    2    0       0.9   2554.02    324   2554.01     15.44     15.89     13.04   Keck,Pal1.5
2555    5350244    1    0    0       1.1   2555.01    909   2555.01     12.89     13.06     11.64   Lick,Pal1.5
2556    5374403    1    0    0       1.3   2556.01    474   2556.01     14.05     14.38     12.43   Keck,Lick,Pal1.5
2559    6605493    0    1    0       1.2   2559.01    913   2559.01     13.80     13.98     12.34   Pal1.5
2560    4670217    0    1    0       2.3   2560.01    543   2560.01     15.49     15.90     13.22   Pal1.5
2561    7259298    1    0    0       0.8   2561.01   1213   2561.01     13.66     13.81     12.27   Pal1.5,WIYN
2563    5175024    1    1    0       0.8   2563.02    738   2563.01     13.97     14.21     12.62   Pal1.5
2564    9026749    1    1    0       1.0   2564.02    513   2564.01     14.07     14.20     12.60   Keck,Lick,Pal1.5
2569    8247770    0    1    0       1.3   2569.01    934   2569.01     14.27     14.52     12.57   Pal1.5
2571    6867588    0    1    0       0.9   2571.01   1584   2571.01     14.43     14.82     12.53   Pal1.5
2573    8256453    0    1    0      50.0   2573.01   1346   2573.01     15.89     16.34     13.79   Pal1.5
2577   12257999    0    1    0       3.6   2577.01    898   2577.01     13.51     13.60     12.37   Pal1.5
2578    6922203    0    1    0       3.5   2578.01    815   2578.01     14.85     15.03     13.25   Pal1.5
2579    9896018    0    3    0       1.3   2579.01    922   2579.03     15.15     15.35     13.71   Pal1.5
2580   11037511    1    0    0       1.7   2580.01   1123   2580.01     15.79     16.03     13.93   Pal1.5
2581   11818872    0    1    0       0.9   2581.01    715   2581.01     13.46     13.72     11.81   MMT,Pal1.5
